menu_name,menu_price,menu_description
믹스카츠,"가격: 9,900",제주산 1등급 돈육을 저온숙성한 카츠업의 겉바속촉 부드러운 안심카츠와 촉촉한 등심카츠를 모두 맛볼 수 있는 메뉴
맵크반반카츠,"가격: 13,900",화끈한 매콤양념카츠& 고소한 크림카츠 반반. 양도 1.5배!
안심카츠,"가격: 9,500",제주산 1등급 150시간 숙성 돈육 겉바속촉 부드러운 안심카츠
모듬카츠,"가격: 13,900",등심카츠+안심카츠+치킨카츠+새우카츠까지 카츠업의 모든 수제카츠를 만날 수 있는 모듬카츠!
치즈불카츠,"가격: 12,900",고소한 1등급 국내산 치즈가 듬뿍! 불카츠 소스를 얹은 제주산 1등급 등심카츠
김치카츠나베,"가격: 9,500",진~하고 칼칼한 김치나베 위에 제주산 1등급 등심카츠와 신선한 국내산 계란이 올라가는 메뉴
크림오므카레,"가격: 12,900","부드러운 회오리 오믈렛과 수제 크림 소스, 메콤한 카레의 만남 거기에 제주산 생등심 카츠까지!"
돈카츠카레,"가격: 8,900",제주산 1등급 겉바속촉 등심 카츠에 진한 감칠맛의 수제 카레를 곁들인 메뉴
냉모밀+미니카츠 정식,"가격: 11,500",주문즉시 삶아내 쫄~ 깃한 생면에 살얼음 동동 특제 육수 가슴속까지 시~원한 냉모밀!
등심카츠,"가격: 8,500",제주 돼지의 풍미 그대로 150시간 저온숙성한 생등심카츠
경양식 돈카츠,"가격: 9,500",겉바속촉 등심카츠 위에 토마토와 와인이 들어간 수제 데미그라스 소스를 얹은 메뉴
매콤양념카츠,"가격: 10,500",화끈~한 매운맛! 겉바속촉 등심카츠 위 매콤달달한 양념위 송송썬 청양고추가 올라갑니다
