menu_name,menu_price,menu_description
달콤불고기피자,가격 정보 없음,설명 없음
매운바싹불고기피자,가격 정보 없음,설명 없음
콤비네이션피자,가격 정보 없음,설명 없음
바싹불고기피자,가격 정보 없음,설명 없음
고추불고기피자,가격 정보 없음,설명 없음
베이컨불고기피자,가격 정보 없음,설명 없음
베이컨할라피뇨피자,가격 정보 없음,설명 없음
고구마무스피자,가격 정보 없음,설명 없음
페페로니피자,가격 정보 없음,설명 없음
베이컨피자,가격 정보 없음,설명 없음
고르곤졸라피자,가격 정보 없음,설명 없음
파인애플피자,가격 정보 없음,설명 없음
야채피자,가격 정보 없음,설명 없음
쉬림프피자,가격 정보 없음,설명 없음
베이컨포테이토피자,가격 정보 없음,설명 없음
베이컨소세지피자,가격 정보 없음,설명 없음
직화매운갈비피자,가격 정보 없음,설명 없음
딥치즈베이컨피자,가격 정보 없음,설명 없음
불고기오븐스파게티,가격 정보 없음,설명 없음
치즈오븐스파게티,가격 정보 없음,설명 없음
