menu_name,menu_price,menu_description
베이컨토마토파스타,"가격: 10,500",설명 없음
체다치즈토마토파스타,"가격: 10,500",설명 없음
훈제삼겹필라프,"가격: 9,500",설명 없음
새우필라프,"가격: 9,000",설명 없음
치킨필라프,"가격: 9,000",설명 없음
버섯크림리소토,"가격: 10,000",설명 없음
매운통베이컨리소토,"가격: 10,500",설명 없음
토마토라구파스타,"가격: 12,500",설명 없음
트러플크림라구파스타,"가격: 13,000",설명 없음
투움바파스타,"가격: 11,500",설명 없음
새우바질파스타,"가격: 10,000",설명 없음
까르보나라파스타,"가격: 10,500",설명 없음
치킨크림파스타,"가격: 11,500",설명 없음
베이컨로제파스타,"가격: 10,500",설명 없음
새우로제파스타,"가격: 11,500",설명 없음
매운새우토마토파스타,"가격: 11,500",설명 없음
치킨토마토파스타,"가격: 11,500",설명 없음
베이컨올리오파스타,"가격: 10,000",설명 없음
