StoreName,Sentiment,Category,Group Keywords,Representative Sentence
153스트리트,Positive,맛,"패티 두께, 패티 추가, 두툼한 수제패티, 패티 두툼하고 육즙 좋음, 트리플 버거세트 비쥬얼, 수제버거 기대하고 갔는데 역시나 맛있네요, 패티가 고소하다, 신선하고 부드럽고 두툼한 패티, 수제라서 맛있어, 맛이 건강하다, 토탈 육향과 육즙, 감자튀김 맛있다, 소스가 달지 않으면서 맛이 풍부하다, 짱 맛있어요, 패티 촉촉함, 새우의 불향, 맛있고 수제버거 맛집, 믹싱 잘 된, 패티 부드러움, 양도 많고, 패티와 야채 아낌없이 넣다, 패티 크기, 양 푸짐하다, 속이 꽉찬 수제버거 맛집이에요, 도톰하니 맛있었어요, 육즙이 풍부, 재료 신선, 맛있고 특별한 수제버거, 음식이 맛있다, 바삭바삭 어니언링, 블랙비트버거 상큼하고 싱싱함, 스트리트버거 블랙비트치즈버거 맛있어요, 육즙 팡팡, 치킨버거 존맛, 수제패티 맛",신선하고 두툼한 수제패티와 다양한 소스가 잘 어우러져 입에 착 감기는 맛이 최고입니다. 감자튀김과 어니언링도 함께 즐길 수 있어 만족스러웠습니다.
153스트리트,Positive,위생,"기름 깨끗함, 속이 더부룩함이 없고 깔끔함, 매장 청결, 음식 깔끔, 먹는데 부담없다",매장이 청결하고 기름도 깨끗하여 음식이 깔끔하고 속이 더부룩하지 않아서 좋았습니다.
153스트리트,Positive,서비스,"사장님이 친절하십니다, 직원이 매우 친절, 친절하신 사장님과 직원분, 친절한 서비스, 친절하시고",사장님과 직원분들이 매우 친절하여 기분 좋게 식사할 수 있었습니다.
153스트리트,Positive,분위기,"분위기 물씬, 분위기도 좋고, 매장 분위기, 매장 넓고 깔끔, 인테리어 외국 느낌, 그린 옐로우 인테리어, 가게가 예뻐요, 외국인, 노란 인테리어, 해외 놀러온 느낌, 가게 내부가 아늑하네요, 노랑초록 밝고 예쁜 매장",가게 인테리어가 외국 느낌이라 색다르고 노랑초록 색상이 조화를 이루어 분위기가 매우 좋습니다.
153스트리트,Positive,가성비,"양도 많아서, 저렴한 세트메뉴, 버거 저렴하다, 가격이 매우 저렴, 가성비 수제버거집, 양도 많은데 가격도 착하다, 양도 많고 가격도 저렴, 가격도 나쁘지 않았다, 가성비 좋고, 해피한 가성비",양이 많으면서도 가격이 착하여 가성비가 매우 뛰어난 수제버거집입니다.
153스트리트,Negative,맛,"맛없어요, 기름뚝뚝 떨어지다, 이번엔 너무 느끼하다, 감튀 큰 차이 없음, 두꺼운 버거, 흘러나온 육즙, 번도 고소한 맛이 없음, 소스가 머스타드인데 너무 짜고 안어울려요, 쪼금 탄 것 같아서 아쉬웠어요, 계란후라이 말고 차라리 스크램블에그로 했으면, 멜팅 치즈 꼬순내 소금간","버거가 두껍지만 기름이 많고 느끼하며, 번이 고소하지 않고 소스가 어울리지 않아서 전체적으로 맛이 아쉽습니다."
153스트리트,Negative,위생,"종이포장 없이 나오는 음식, 매장 안에 휴지 배치 안돼있다",
153스트리트,Negative,서비스,"종업원 말 알아듣기 힘들다, 난방기 켜시는 것, 난방이 안되서 떨다",
153스트리트,Negative,분위기,,
153스트리트,Negative,가성비,"햄버거가 작아보일수 있다, 크기 대비 가격, 비싸요",
분99,Positive,맛,"메뉴 추천, 토마토 쌀국수, 부드러운 토마토 맛, 토마토쌀국수 맛있고 굉장히 진했어여, 뜨끈한 음식, 맵다, 맛이 좋다, 맛있어, 쌀국수, 얼큰하니 맛있다, 분짜 맛있다, 칼칼하고 맛있음, 음식이 깔끔하다, 토마토 해물 쌀국, 이국적인 맛, 토마토해물쌀국수 얼큰하고 양 많아요, 토마토 레몬, 맛있음, 면이 탱탱하고 맛있어요, 쌀국수 국물 맛, 쌀국수 맛있다, 토마토쌀국수, 맛있어요, 맛이 좋습니다, 새콤한맛, 달콤하고 좋네요, 고기가 실하다, 진한 국물, 매콤한 맛, 매력있는 쌀국수, 음식 맛있었어요, 맛있게, 국물 얼큰, 맛깔스러움, 닭봉튀김 바삭하니 맛났구요, 홍합 많이 들어있음, 맛, 밥이 진짜 맛있다, 토마토쌀국수 맛, 음식이 맛있다, 토마토 쌀국수 맛있어요, 토마토 해산물 쌀국수, 맛있는 쌀국수, 맛있었어요, 맛있습니다, 잘 먹고 가요, 새로나온 바나나튀김, 맛있다, 토마토쌀국수 맛, 음식이 맛있다, 토마토와의 조화, 토마토 쌀국수 맛있어요, 맛있는 맛있는 쌀국수, 존맛, 해산물 토마토 쌀국수, 맛도리, 기본쌀국수 맛, 든든하다, 토마토 해장템, 맑은 국, 음식 맛, 바나나튀김, 맛있는 쌀국수, 혼밥하기 좋다, 맛없는 메뉴가 없다","분99의 토마토 쌀국수는 부드럽고 진한 국물로 맛이 뛰어나며, 해산물이 많이 들어가 얼큰하고 맛있는 쌀국수를 제공합니다."
분99,Positive,위생,"깨끗하다, 청결",
분99,Positive,서비스,"점원 친절, 종업원 친절, 친절합니다, 친절한 서비스, 친절하십니다, 친절함, 사장님과 직원분들의 친절함, 직원 친절, 서비스",직원들이 매우 친절하여 서비스가 훌륭하고 고객을 배려하는 모습이 돋보입니다.
분99,Positive,분위기,"분위기 안온하다, 분위기, 외국에 온 느낌, 베트남 느낌 인테리어, 베트남에서 먹던 맛과 분위기, 내부도 아늑하고",분99의 아늑한 분위기와 베트남 풍의 인테리어는 외국에 온 느낌을 줍니다.
분99,Positive,가성비,"가성비, 가격대비 가성비, 양 적당, 양이 많음, 제공","분99는 가격 대비 가성비가 뛰어나며, 양도 충분하여 만족스러운 식사를 제공합니다."
분99,Negative,맛,"홍합이 약간 맛이 안 좋았음, 음식 비슷함, 다른 메뉴들은 평범하다, 분짜 맛없는 데, 평범한 맛, 분짜 고기가 너무 타다, 입맛에 안 맞음, 조금 짜다, 베쌀은 기대보다 실망스러웠다, 특별한 맛은 아니다, 힘줄 양, 양지 쌀국수는 평범, 찾아가서 먹을 정도는 아니에요, 현지화 많이 안 된, 쌀국수, 야채 부족","분짜와 양지 쌀국수의 맛이 평범하고, 고기가 너무 타며, 입맛에 안 맞고 야채가 부족하여 대체로 만족스럽지 않았습니다."
분99,Negative,위생,"주방에서 사장님이 맨손으로 고명 올리시는 것, 화장실 청결, 나무젓가락 위생, 여름에 초파리 많음, 오래 사용한 나무젓가락",여름에는 초파리가 많고 주방에서 맨손으로 음식을 다루는 등 위생 상태가 부족합니다.
분99,Negative,서비스,"음식이 늦게 나와요, 주문한 것과 다른게 나와, 태도, 직원분들과 소통이 잘 안되는 느낌, 사장님 큰소리로 혼내는 것, 기분 나쁜 티 팍팍, 사과 한마디 없고",음식이 늦게 나오고 주문 실수가 많으며 직원 태도가 불친절하여 서비스가 부족합니다.
분99,Negative,분위기,"매장 시끌시끌, 매장내부 울림, 재개발 공사장 소음",
분99,Negative,가성비,"비싸다, 양이 적음, 가격에 비해 양",가격에 비해 양이 적어 가성비가 좋지 않습니다.
가야가야 이대점,Positive,맛,"야채 불맛, 차슈라멘, 차슈는 맛있었어요, 부추무침 맛있다, 계란 익힘 정도 아주 좋았어요, 반숙 계란, 라멘 맛, 부추, 라멘 국물, 계란과 국물의 조화는 좋았습니다, 맛 변함없고, 국물, 반숙계란도 넘좋았구요, 짜지 않고 담백했다, 라멘 맛있고 간도 적당, 미소라멘, 진짜맛있음, 돈코츠 야사이라멘, 부추 반찬 맛있음, 부추 반찬 무한리필, 마늘을 넣은 불맛, 라멘, 돈코츠 라멘중엔 최고, 불맛, 맛있음, 국물맛 깊고 맛있어요, 느끼하지 않고 잡내도 없었어요, 맛있어요, 느끼하지 않다, 고기 맛있어요, 카라이 돈코츠라멘, 깔끔한 맛, 맛있게 잘 먹었어요, 일본식 라멘맛, 진한 국물, 맛있게 먹었어요, 매콤한 맛, 진짜 맛있게 먹었어요, 돈코츠미소야사이라멘, 맛, 너무 맛있게 잘 먹다, 야사이 맛있다, 간이 면에 잘 밴 것, 덜 짜서 좋았어요, 돈코츠라면, 재료 신선함, 잡내도 없고 국물도 진하다, 국물 시원함, 맛있습니다, 담백한 맛, 짜지도 않았어요, 돈코츠의 깊은맛, 멜팅라멘, 스테이크급 고기","라멘의 국물이 깊고 깔끔하며, 차슈와 부추무침이 맛있고 반숙 계란의 익힘 정도가 적절하여 감칠맛을 돋구어 줍니다."
가야가야 이대점,Positive,위생,"쾌적하다, 깔끔하다, 가게가 깔끔하다, 깔끔함, 깔끔한 느낌",매장은 깔끔하고 쾌적하여 청결함이 돋보입니다.
가야가야 이대점,Positive,서비스,"직원들의 친절함, 직원분들 친절하다, 사장님 친절하셨어요, 친절하십니다, 환하게 웃으면서 인사",직원들이 매우 친절하고 환하게 인사하여 기분 좋은 서비스를 제공합니다.
가야가야 이대점,Positive,분위기,"분위기, 사람들이 제법 있어서, 가게 분위기, 일본가고싶게 만드시네요, 분위기가 좋다","매장의 분위기가 일본 느낌을 주며, 많은 사람들이 찾아와 활기차고 좋습니다."
가야가야 이대점,Positive,가성비,"양, 양 많습니다, 가격 적당하다, 양이 많다, 혼밥하기 좋다",양이 넉넉하고 가격이 적당하여 혼밥하기에도 좋습니다.
가야가야 이대점,Negative,맛,"깊은 맛, 공장육수 맛, 맛있었지만 생각했던 그맛은 아니어서, 차슈 고기, 맛없고, 차슈 얇다, 맛이 없음, 너무 짜고, 싱겁다, 맛없다, 평범했어요, 맛없는 것, 그냥그런 맛, 공장 대량생산 육수, 생강맛, 돈코츠 미소라멘, 맛이 변한걸까, 돈코츠 육수, 돼지 누린내, 라멘 자체가 무맛, 짜다, 돼지누린내, 돈코츠 기대, 기대에 비해 맛은 평범했습니다, 맛, 맛 그저 그럼, 약간 간이 짭짤함, 해산물 육수 향, 차슈 별로입니다, 짭니다, 맛있진 않았어요, 돈코츠라멘, 맛도 그닥, 국물이 짬, 국물맛이 일반 된장국, 개선, 맛없어요, 음식맛은 너무나 형편없었습니다, 기대했던거, 음식 맛, 어디루가도 먹을수 있는 맛, 차슈가 얇다, 노맛","차슈 고기가 얇고 돼지 누린내가 나며, 국물은 짜거나 무맛이라는 평이 많아 돈코츠 육수 맛에 대한 기대에 미치지 못했습니다."
가야가야 이대점,Negative,서비스,"불친절한 서비스, 사장님이 웃는 얼굴은 아니시기는 했지만, 카운터석에만 앉힙니다, 서빙쓰다, 불친절, 추천하기 어렵다, 종업원 불친절함, 큰소리 나게 던짐, 직원 불친절, 알바생 친절함 부족, 서비스 경험, 응대, 거절됨, 불친절한 직원, 기계 오류, 손님 하인 취급, 무례한 직원, 불쾌한 집, 다신 못 갈 것 같음, 손님 하인 취급, 응대 태도가., 무례한 직원 태도, 두냥인사도 하고어처스니크 직원, 무례함, 손말 나성하겠지요, 무례함., 스무 한 곳, 전에 예약, 스어고욕, 고운, 왜 지금까십니까,, 반숙아서 비난, 오렌지색 욕, 다음 맞은, 무례程度","직원들의 불친절한 응대와 무례한 태도로 인해 서비스에 대한 만족도가 매우 낮았습니다. 특히, 손님을 하인처럼 대하는 것은 큰 불편을 주었습니다."
가야가야 이대점,Negative,위생,"비위생, 끈적끈적함, 청소가 깨끗이 되어 있지 않네요, 정수기 호스, 위생 상태","식당의 위생 상태가 좋지 않으며, 끈적끈적한 환경과 청소가 제대로 되지 않은 것으로 보였습니다."
가야가야 이대점,Negative,가성비,"양 적다, 사리추가 없음, 양이 많지 않아요, 양도 적어요, 곱배기 만들어주시면 좋겠어요, 가격, 양이 푸짐하지 않음, 양이 적다, 가격대비 토핑 부실, 차슈 두께, 가격 대비 구성, 적은 차슈, 양이 적었어요","가격에 비해 양이 적고, 토핑이 부실하여 만족스럽지 않았습니다. 특히, 차슈 두께가 얇아 더욱 아쉽습니다."
가야가야 이대점,Negative,분위기,"혼자가면 소파있는 편한자리, 가게 분위기, 에어컨이 넘 약하게 나와, 좁아서 접근성 떨어지다, 줄 서서 먹기","가게 분위기는 좁고 에어컨이 약하게 나와 불편했습니다. 혼자 가면 소파가 있는 자리가 있긴 하지만, 전반적인 접근성이 떨어졌습니다."
