menu_name,menu_price,menu_description
전국택배(더즌베이글/12개),"가격: 32,000",10개 구매 시 2개 free / https://smartstore.naver.com/motherinlawbagel/products/5229393038
크림치즈(14종),"가격: 3,500",설명 없음
노바,"가격: 9,900",훈제연어와 크림치즈의 환상적인 조화! 마더린러의 베스트셀러!
필리치즈스테이크,"가격: 8,900",육즙이 촥~~~악 풍부한 등심살과 모짜렐라의 풍미가 입안 한가득
치킨타임,"가격: 8,900",베이컨과 담백한 저칼로리 닭가슴살의 건강한 풍미!
베이글클럽,"가격: 8,900",이런 맛 처음이지? 담백한 저칼로리 터키햄과 치즈의 찰떡궁합!
이탈리안클럽,"가격: 8,900","페퍼로니,살라미 그리고 햄과 야채가 만들어내는 환상적인 조화!"
낫소,"가격: 8,900",마더린러 크림치즈와 오리지널 아메리칸 스타일 베이컨의 풍미와 바삭함이 그대로!
포트워싱턴스타일,"가격: 8,900",육즙의 끝.판.왕! 누구도 따라올 수 없는 위대한 그 맛!
그릴치즈멜트,"가격: 8,900",호떡처럼 납짝하게! 상큼한 토마토와 모짜렐라치즈의 절묘한 궁합!
러쉬아워,"가격: 8,900",짭쪼름한서도 담백한 그 맛! 이런 맛 처음이지?
베이컨(햄)에그치즈,"가격: 8,900",간단한 아침식사? 이거 하나면 충!분!해!
BLT,"가격: 8,900",기본중의 기본! 베이컨+양상추+토마토가 만들어내는 입안 가득 넘치는 맛의 향연!
애그샐러드 샌드위치,"가격: 7,900",설명 없음
치킨샐러드,"가격: 7,900",설명 없음
