StoreName,Review,Keyword,Sentiment
회기왕족발보쌈,셋이서 갔고 이른 저녁으로 배가 별로 안 고파서중 사이즈 막국수 소로 시킨다고 했더니3000원 추가해서 대 사이즈 시키라고 눈치줌아니 눈치준 것도 아니고 거의 강요하는 느낌...손님이 먹고 싶은 사이즈를 맘대로 못 시키는게... 차암김치는 기본 김치도 없고 무조건 만 원 넘는 김치 돈 주고 먹어야함족발 양도 그리 많지 않고 맛도 평범한데굳이 여기까지 가서 먹을 바엔 차라리 나는 집에서 배달로 김치는 무료에 맛도 비슷한 집에서 편하게 먹겠음..어르신들도 많고 연령층도 다양하던데 사실 음식이나 서비스는 경험적이고 주관적이니까 참고만 하시길저는 재방문 없습니다,눈치줌,Negative
회기왕족발보쌈,셋이서 갔고 이른 저녁으로 배가 별로 안 고파서중 사이즈 막국수 소로 시킨다고 했더니3000원 추가해서 대 사이즈 시키라고 눈치줌아니 눈치준 것도 아니고 거의 강요하는 느낌...손님이 먹고 싶은 사이즈를 맘대로 못 시키는게... 차암김치는 기본 김치도 없고 무조건 만 원 넘는 김치 돈 주고 먹어야함족발 양도 그리 많지 않고 맛도 평범한데굳이 여기까지 가서 먹을 바엔 차라리 나는 집에서 배달로 김치는 무료에 맛도 비슷한 집에서 편하게 먹겠음..어르신들도 많고 연령층도 다양하던데 사실 음식이나 서비스는 경험적이고 주관적이니까 참고만 하시길저는 재방문 없습니다,김치 만 원,Negative
회기왕족발보쌈,셋이서 갔고 이른 저녁으로 배가 별로 안 고파서중 사이즈 막국수 소로 시킨다고 했더니3000원 추가해서 대 사이즈 시키라고 눈치줌아니 눈치준 것도 아니고 거의 강요하는 느낌...손님이 먹고 싶은 사이즈를 맘대로 못 시키는게... 차암김치는 기본 김치도 없고 무조건 만 원 넘는 김치 돈 주고 먹어야함족발 양도 그리 많지 않고 맛도 평범한데굳이 여기까지 가서 먹을 바엔 차라리 나는 집에서 배달로 김치는 무료에 맛도 비슷한 집에서 편하게 먹겠음..어르신들도 많고 연령층도 다양하던데 사실 음식이나 서비스는 경험적이고 주관적이니까 참고만 하시길저는 재방문 없습니다,맛 평범,Negative
회기왕족발보쌈,셋이서 갔고 이른 저녁으로 배가 별로 안 고파서중 사이즈 막국수 소로 시킨다고 했더니3000원 추가해서 대 사이즈 시키라고 눈치줌아니 눈치준 것도 아니고 거의 강요하는 느낌...손님이 먹고 싶은 사이즈를 맘대로 못 시키는게... 차암김치는 기본 김치도 없고 무조건 만 원 넘는 김치 돈 주고 먹어야함족발 양도 그리 많지 않고 맛도 평범한데굳이 여기까지 가서 먹을 바엔 차라리 나는 집에서 배달로 김치는 무료에 맛도 비슷한 집에서 편하게 먹겠음..어르신들도 많고 연령층도 다양하던데 사실 음식이나 서비스는 경험적이고 주관적이니까 참고만 하시길저는 재방문 없습니다,서비스 경험적,Negative
회기왕족발보쌈,셋이서 갔고 이른 저녁으로 배가 별로 안 고파서중 사이즈 막국수 소로 시킨다고 했더니3000원 추가해서 대 사이즈 시키라고 눈치줌아니 눈치준 것도 아니고 거의 강요하는 느낌...손님이 먹고 싶은 사이즈를 맘대로 못 시키는게... 차암김치는 기본 김치도 없고 무조건 만 원 넘는 김치 돈 주고 먹어야함족발 양도 그리 많지 않고 맛도 평범한데굳이 여기까지 가서 먹을 바엔 차라리 나는 집에서 배달로 김치는 무료에 맛도 비슷한 집에서 편하게 먹겠음..어르신들도 많고 연령층도 다양하던데 사실 음식이나 서비스는 경험적이고 주관적이니까 참고만 하시길저는 재방문 없습니다,재방문 없습니다,Negative
회기왕족발보쌈,김치는 괜찮아요,김치,Positive
회기왕족발보쌈,족발은 무난 막국수 앤 김치 대존맛!! 다음엔 보쌈을 도전!,족발,Positive
회기왕족발보쌈,족발은 무난 막국수 앤 김치 대존맛!! 다음엔 보쌈을 도전!,막국수,Positive
회기왕족발보쌈,족발은 무난 막국수 앤 김치 대존맛!! 다음엔 보쌈을 도전!,김치,Positive
회기왕족발보쌈,족발은 무난 막국수 앤 김치 대존맛!! 다음엔 보쌈을 도전!,보쌈,Neutral
회기왕족발보쌈,부드러운 보쌈 달달한 김치 아 이런 곳 잘 없다. 김치가 매우 특별함! 불친절함은 경우에 따라 느낄 수 있을 정도! 본인은 신경 안 쓴다.,부드러운 보쌈,Positive
회기왕족발보쌈,부드러운 보쌈 달달한 김치 아 이런 곳 잘 없다. 김치가 매우 특별함! 불친절함은 경우에 따라 느낄 수 있을 정도! 본인은 신경 안 쓴다.,달달한 김치,Positive
회기왕족발보쌈,부드러운 보쌈 달달한 김치 아 이런 곳 잘 없다. 김치가 매우 특별함! 불친절함은 경우에 따라 느낄 수 있을 정도! 본인은 신경 안 쓴다.,김치가 매우 특별함,Positive
회기왕족발보쌈,부드러운 보쌈 달달한 김치 아 이런 곳 잘 없다. 김치가 매우 특별함! 불친절함은 경우에 따라 느낄 수 있을 정도! 본인은 신경 안 쓴다.,불친절함,Negative
회기왕족발보쌈,인생 보쌈을 만났습니다.. 족발은 평범했고 보쌈이 진짜 엄청납니다... 보쌈김치도 최고,보쌈,Positive
회기왕족발보쌈,인생 보쌈을 만났습니다.. 족발은 평범했고 보쌈이 진짜 엄청납니다... 보쌈김치도 최고,족발,Negative
회기왕족발보쌈,인생 보쌈을 만났습니다.. 족발은 평범했고 보쌈이 진짜 엄청납니다... 보쌈김치도 최고,보쌈김치,Positive
회기왕족발보쌈,예전같지 않긴 함 그래도 준수한 편임,예전같지 않긴 함,Negative
회기왕족발보쌈,예전같지 않긴 함 그래도 준수한 편임,그래도 준수한 편임,Positive
회기왕족발보쌈,여기는 보쌈집인 듯. 김치 야무져요,보쌈집,Positive
회기왕족발보쌈,여기는 보쌈집인 듯. 김치 야무져요,김치,Positive
회기왕족발보쌈,보들보들한 보쌈과 같이 먹는 김치가 진짜 맛있었어요!!♥️♥️,보들보들한 보쌈,Positive
회기왕족발보쌈,보들보들한 보쌈과 같이 먹는 김치가 진짜 맛있었어요!!♥️♥️,같이 먹는 김치,Positive
회기왕족발보쌈,보들보들한 보쌈과 같이 먹는 김치가 진짜 맛있었어요!!♥️♥️,맛있었어요,Positive
회기왕족발보쌈,보쌈이랑 막국수 맛나네요.,보쌈,Positive
회기왕족발보쌈,보쌈이랑 막국수 맛나네요.,막국수,Positive
회기왕족발보쌈,다들 족발 왜 맛있다는 평이 많은건지 진짜 이해가 안가네요. 세명이 간건데 족발 소짜가 1인분이라며 보쌈 좋아하시는 분들은 족발하나 보쌈하나 이렇게 시키고 아니면 세명이니까 족발하나 보쌈하나에 쟁반국수 하나 시키는 분들도 많다 하심.. 이건 옆에 테이블에도 이런식으로 굳이 멘트를 하시더라구요.중요한건 맛.. 저희는 3명이라 일단 족발 대자를 주문했습니다. 족발을 먹으니 짜고 살코기는 퍽퍽하고 뼈에붙은 살코기는 다른 가게들은 보통 잘 떨어지는데 건치인 이가 아플정도라 포기했습니다. 막국수도 진짜 맛없었는데 족발이 느끼해서 곁들어먹었어요.주인이 바뀐건지 원래 이런데인지는 모르겠지만 다시 찾아갈 이유가 없네요. 시장족발보다 못한 맛이에요,족발 맛,Negative
회기왕족발보쌈,다들 족발 왜 맛있다는 평이 많은건지 진짜 이해가 안가네요. 세명이 간건데 족발 소짜가 1인분이라며 보쌈 좋아하시는 분들은 족발하나 보쌈하나 이렇게 시키고 아니면 세명이니까 족발하나 보쌈하나에 쟁반국수 하나 시키는 분들도 많다 하심.. 이건 옆에 테이블에도 이런식으로 굳이 멘트를 하시더라구요.중요한건 맛.. 저희는 3명이라 일단 족발 대자를 주문했습니다. 족발을 먹으니 짜고 살코기는 퍽퍽하고 뼈에붙은 살코기는 다른 가게들은 보통 잘 떨어지는데 건치인 이가 아플정도라 포기했습니다. 막국수도 진짜 맛없었는데 족발이 느끼해서 곁들어먹었어요.주인이 바뀐건지 원래 이런데인지는 모르겠지만 다시 찾아갈 이유가 없네요. 시장족발보다 못한 맛이에요,살코기 질감,Negative
