StoreName,Review,Keyword,Sentiment
강남불백 신촌,솔직히 맛과 가격대비 상차림만 보면 가는게 정답그냥 불백은 고추장 베이스인데 너무 물리고 맛도 별로임우삼겹 불백이 간장 베이스고 진국임다만 위생 때문인지 기름기가 많아서인지 먹고나서 속이 안좋은 경우가 종종 있음 개인적인 소화 불량일수도 있음24.09.26 추가오랜만에 들렀는데 항상 느끼는거지만 강남불백은 퀄리티 유지 관리가 전혀 안된다. 어떨땐 된장찌개와 고기 계란에서 탄맛만 날때도 있다. 어떨땐 진짜 맛있고.퀄리티 유지가 안된다는거 자체가 사람이나 레시피에 문제가 있단건데 일하시는 분들 태도를 보면 세상만사 귀찮고 피곤해보이는걸로 보아 대충대충 만드시는 것 같다. 오늘부로 안오렵니다.24.11.16 추가안온다고 해놓고 2달여만에 다시옴... 인간은 같은 실수를 끊임없이 반복....배고프고 고기 땡기는데 갈 곳이 마땅치 않네여 오늘은 맛있었음 ,맛,Negative
강남불백 신촌,솔직히 맛과 가격대비 상차림만 보면 가는게 정답그냥 불백은 고추장 베이스인데 너무 물리고 맛도 별로임우삼겹 불백이 간장 베이스고 진국임다만 위생 때문인지 기름기가 많아서인지 먹고나서 속이 안좋은 경우가 종종 있음 개인적인 소화 불량일수도 있음24.09.26 추가오랜만에 들렀는데 항상 느끼는거지만 강남불백은 퀄리티 유지 관리가 전혀 안된다. 어떨땐 된장찌개와 고기 계란에서 탄맛만 날때도 있다. 어떨땐 진짜 맛있고.퀄리티 유지가 안된다는거 자체가 사람이나 레시피에 문제가 있단건데 일하시는 분들 태도를 보면 세상만사 귀찮고 피곤해보이는걸로 보아 대충대충 만드시는 것 같다. 오늘부로 안오렵니다.24.11.16 추가안온다고 해놓고 2달여만에 다시옴... 인간은 같은 실수를 끊임없이 반복....배고프고 고기 땡기는데 갈 곳이 마땅치 않네여 오늘은 맛있었음 ,위생,Negative
강남불백 신촌,솔직히 맛과 가격대비 상차림만 보면 가는게 정답그냥 불백은 고추장 베이스인데 너무 물리고 맛도 별로임우삼겹 불백이 간장 베이스고 진국임다만 위생 때문인지 기름기가 많아서인지 먹고나서 속이 안좋은 경우가 종종 있음 개인적인 소화 불량일수도 있음24.09.26 추가오랜만에 들렀는데 항상 느끼는거지만 강남불백은 퀄리티 유지 관리가 전혀 안된다. 어떨땐 된장찌개와 고기 계란에서 탄맛만 날때도 있다. 어떨땐 진짜 맛있고.퀄리티 유지가 안된다는거 자체가 사람이나 레시피에 문제가 있단건데 일하시는 분들 태도를 보면 세상만사 귀찮고 피곤해보이는걸로 보아 대충대충 만드시는 것 같다. 오늘부로 안오렵니다.24.11.16 추가안온다고 해놓고 2달여만에 다시옴... 인간은 같은 실수를 끊임없이 반복....배고프고 고기 땡기는데 갈 곳이 마땅치 않네여 오늘은 맛있었음 ,가격 대비 상차림,Positive
강남불백 신촌,솔직히 맛과 가격대비 상차림만 보면 가는게 정답그냥 불백은 고추장 베이스인데 너무 물리고 맛도 별로임우삼겹 불백이 간장 베이스고 진국임다만 위생 때문인지 기름기가 많아서인지 먹고나서 속이 안좋은 경우가 종종 있음 개인적인 소화 불량일수도 있음24.09.26 추가오랜만에 들렀는데 항상 느끼는거지만 강남불백은 퀄리티 유지 관리가 전혀 안된다. 어떨땐 된장찌개와 고기 계란에서 탄맛만 날때도 있다. 어떨땐 진짜 맛있고.퀄리티 유지가 안된다는거 자체가 사람이나 레시피에 문제가 있단건데 일하시는 분들 태도를 보면 세상만사 귀찮고 피곤해보이는걸로 보아 대충대충 만드시는 것 같다. 오늘부로 안오렵니다.24.11.16 추가안온다고 해놓고 2달여만에 다시옴... 인간은 같은 실수를 끊임없이 반복....배고프고 고기 땡기는데 갈 곳이 마땅치 않네여 오늘은 맛있었음 ,퀄리티 유지 관리,Negative
강남불백 신촌,솔직히 맛과 가격대비 상차림만 보면 가는게 정답그냥 불백은 고추장 베이스인데 너무 물리고 맛도 별로임우삼겹 불백이 간장 베이스고 진국임다만 위생 때문인지 기름기가 많아서인지 먹고나서 속이 안좋은 경우가 종종 있음 개인적인 소화 불량일수도 있음24.09.26 추가오랜만에 들렀는데 항상 느끼는거지만 강남불백은 퀄리티 유지 관리가 전혀 안된다. 어떨땐 된장찌개와 고기 계란에서 탄맛만 날때도 있다. 어떨땐 진짜 맛있고.퀄리티 유지가 안된다는거 자체가 사람이나 레시피에 문제가 있단건데 일하시는 분들 태도를 보면 세상만사 귀찮고 피곤해보이는걸로 보아 대충대충 만드시는 것 같다. 오늘부로 안오렵니다.24.11.16 추가안온다고 해놓고 2달여만에 다시옴... 인간은 같은 실수를 끊임없이 반복....배고프고 고기 땡기는데 갈 곳이 마땅치 않네여 오늘은 맛있었음 ,일하시는 분들 태도,Negative
강남불백 신촌,요약 빠싹불맛짭짤도시락밥제가 갔을땐 계란후라이도 주셨구용좀 바싹 익고 양념이 짭잘했지만 그래서 밥이랑 잘어울리기도 했습니다.옛날 네모 도시락에 밥 주시는것도 참신했구혼밥도 가능입니당,계란후라이,Positive
강남불백 신촌,요약 빠싹불맛짭짤도시락밥제가 갔을땐 계란후라이도 주셨구용좀 바싹 익고 양념이 짭잘했지만 그래서 밥이랑 잘어울리기도 했습니다.옛날 네모 도시락에 밥 주시는것도 참신했구혼밥도 가능입니당,양념이 짭잘,Positive
강남불백 신촌,요약 빠싹불맛짭짤도시락밥제가 갔을땐 계란후라이도 주셨구용좀 바싹 익고 양념이 짭잘했지만 그래서 밥이랑 잘어울리기도 했습니다.옛날 네모 도시락에 밥 주시는것도 참신했구혼밥도 가능입니당,옛날 네모 도시락,Positive
강남불백 신촌,요약 빠싹불맛짭짤도시락밥제가 갔을땐 계란후라이도 주셨구용좀 바싹 익고 양념이 짭잘했지만 그래서 밥이랑 잘어울리기도 했습니다.옛날 네모 도시락에 밥 주시는것도 참신했구혼밥도 가능입니당,혼밥 가능,Positive
강남불백 신촌,가성비 좋은데 맛있습니다,가성비,Positive
