StoreName,Review,Keyword,Sentiment
파사주,사실 파리여행 때도 한인민박에서 닭도리탕 을 주로 먹었는데 공덕 에서 프랑스가정식 을 먹을 줄이야 파사주1️ 어니언스프찐한 양파 캐러멀라이징이 짜장면이 생각남2️ 도미 가 올라간 파스타 쁘아송스파게티니은근히 손이 계속 가는 맛 3️ 사보이양배추 미트볼과 밀푀유의 맛기분 좋은 한 끼 ️ 그릇도 이쁘더라,프랑스가정식,Positive
파사주,사실 파리여행 때도 한인민박에서 닭도리탕 을 주로 먹었는데 공덕 에서 프랑스가정식 을 먹을 줄이야 파사주1️ 어니언스프찐한 양파 캐러멀라이징이 짜장면이 생각남2️ 도미 가 올라간 파스타 쁘아송스파게티니은근히 손이 계속 가는 맛 3️ 사보이양배추 미트볼과 밀푀유의 맛기분 좋은 한 끼 ️ 그릇도 이쁘더라,어니언스프,Positive
파사주,사실 파리여행 때도 한인민박에서 닭도리탕 을 주로 먹었는데 공덕 에서 프랑스가정식 을 먹을 줄이야 파사주1️ 어니언스프찐한 양파 캐러멀라이징이 짜장면이 생각남2️ 도미 가 올라간 파스타 쁘아송스파게티니은근히 손이 계속 가는 맛 3️ 사보이양배추 미트볼과 밀푀유의 맛기분 좋은 한 끼 ️ 그릇도 이쁘더라,캐러멀라이징,Positive
파사주,사실 파리여행 때도 한인민박에서 닭도리탕 을 주로 먹었는데 공덕 에서 프랑스가정식 을 먹을 줄이야 파사주1️ 어니언스프찐한 양파 캐러멀라이징이 짜장면이 생각남2️ 도미 가 올라간 파스타 쁘아송스파게티니은근히 손이 계속 가는 맛 3️ 사보이양배추 미트볼과 밀푀유의 맛기분 좋은 한 끼 ️ 그릇도 이쁘더라,쁘아송스파게티,Positive
파사주,사실 파리여행 때도 한인민박에서 닭도리탕 을 주로 먹었는데 공덕 에서 프랑스가정식 을 먹을 줄이야 파사주1️ 어니언스프찐한 양파 캐러멀라이징이 짜장면이 생각남2️ 도미 가 올라간 파스타 쁘아송스파게티니은근히 손이 계속 가는 맛 3️ 사보이양배추 미트볼과 밀푀유의 맛기분 좋은 한 끼 ️ 그릇도 이쁘더라,밀푀유,Positive
파사주,스파게티 맛있어요 !! 뇨끼도!,스파게티,Positive
파사주,스파게티 맛있어요 !! 뇨끼도!,뇨끼,Positive
파사주,조금 좁지만 프랑스 가정식이 먹고싶을때 예약하고 가면 딱 좋습니다,조금 좁다,Negative
파사주,조금 좁지만 프랑스 가정식이 먹고싶을때 예약하고 가면 딱 좋습니다,프랑스 가정식,Positive
파사주,조금 좁지만 프랑스 가정식이 먹고싶을때 예약하고 가면 딱 좋습니다,예약하고 가면 딱 좋다,Positive
파사주,스테이크 시켰는데...차가워서 놀랐습니다 야채도 미리햐두신건지..🥲 블루리본은 이제 믿고 거릅니다 분위기만 좋아오 대체로 다 느끼합니다,스테이크 차가워서,Negative
파사주,스테이크 시켰는데...차가워서 놀랐습니다 야채도 미리햐두신건지..🥲 블루리본은 이제 믿고 거릅니다 분위기만 좋아오 대체로 다 느끼합니다,야채 미리 준비된 것,Negative
파사주,스테이크 시켰는데...차가워서 놀랐습니다 야채도 미리햐두신건지..🥲 블루리본은 이제 믿고 거릅니다 분위기만 좋아오 대체로 다 느끼합니다,블루리본 이제 믿고 거름,Negative
