StoreName,Review,Keywords_Sentiments
153스트리트,153베이컨버거와 더블클래식버거 감자튀김 먹었어요. 둘다 수제버거만의 매력이 듬뿍 느껴졌어요. 패티 너무 부드럽고 빵이 워낙 촉촉했으며 야채들이 완전 싱싱해서 전체적으로 최상급 버거였어요. 감자튀김 또한 바삭하면서도 무척이나 고소했습니다.이런 버거 매장이 저희 동네에 있어서 너무 좋네요. 앞으로 무조건 자주 올겁니다.,"수제버거(Positive), 패티(Positive), 빵(Positive), 야채(Positive), 감자튀김(Positive)"
153스트리트,153스트리트의 특징은 계란후라이!! 패티도 촉촉하지만 반숙계란으로 촉촉함이 추가되요💕 패티가 두툼하고 베이컨도 부드러워요. 저렴한 세트메뉴 구성도 좋네요,"계란후라이(Positive), 패티 촉촉함(Positive), 패티 두툼함(Positive), 베이컨 부드러움(Positive), 저렴한 세트메뉴(Positive)"
153스트리트,2층에위치해 있고 창문쪽 바석에서 밖보며 먹는것도 좋을 것 같아요! 홀도 꽤 넓고 배달도 운영하십니당 집이 이 근처라서 다름에는 배달시켜서 먹어보려구요! 버거 완전 맛있어용 경영대 아시아언어문화대 상경대 학생증 인증시 할인 이벤트도 진행중이에요,"창문쪽 바석에서 밖보며 먹는 것(Positive), 홀 꽤 넓음(Positive), 버거 맛있음(Positive), 할인 이벤트 진행(Positive)"
153스트리트,BBC버거 치즈가 흘러내려 먹음직해서 픽 했는데 역시나 짱이요,"치즈가 흘러내려 먹음직한(Positive), 픽 했는데 짱이요(Positive)"
153스트리트,가게가 예뻐요!!,가게가 예뻐요(Positive)
153스트리트,가성비 넘 좋아요. 매장도 이쁘고.. 노랑노랑해서 입맛이 삽니다 친절하셔서 더 좋았어요!,"가성비(Positive), 매장(Positive), 노랑노랑한 인테리어(Positive), 입맛(Positive), 친절한 서비스(Positive)"
153스트리트,가성비 좋은 외대 맛집 수제버거 예요수제 소고기 패티도 너무 맛있고 감자튀김도 너무 맛있어요 노란 인테리어도 너무 힙하고 사장님도 친절하셔서 기분좋은 식사가 가능하네요,"가성비(Positive), 수제 소고기 패티(Positive), 감자튀김(Positive), 노란 인테리어(Positive), 사장님 친절함(Positive)"
153스트리트,가성비도 좋고 맛도 너무 좋아서 정말 만족했습니다여러번 찾고 싶은 맛집입니다강력 추천 드립니다 !!,"가성비(Positive), 맛(Positive), 만족(Positive), 맛집(Positive), 추천(Positive)"
153스트리트,가성비도좋고 맛있었습니다,"가성비(Positive), 맛있었습니다(Positive)"
153스트리트,가성비진짜좋고 맛있어요.,"가성비(Positive), 맛있어요(Positive)"
153스트리트,건강하고 신선하고 맛있는 햄버거 먹고싶을때 딴거다 필요없이 153으로 출동합니더 노랑초록 밝고 예쁜 매장은 물론 친절하신 사장님과 직원분덕분에 더 맛있게 먹었어요!!! 육즙 가득한데 안느끼해서 더 맛있는 감튀도 신선해서 더더 맛있어요!!! 매콤짭짤 좋아하시면 클래식버거 강추합니다,"건강하고 신선하고 맛있는 햄버거(Positive), 노랑초록 밝고 예쁜 매장(Positive), 친절하신 사장님과 직원분(Positive), 육즙 가득한데 안느끼한 감튀(Positive), 클래식버거 강추(Positive)"
153스트리트,굿 맛있어요 좀 비싸요,"맛있어요(Positive), 비싸요(Negative)"
153스트리트,그냥 저냥 평범한.,평범한(Negative)
153스트리트,남편이랑 저녁으로 수제버거 먹으러 한국외대앞으로 놀러나왔네요. 확실히 외국인학생들이 많은 외대앞 수제버거집이라 인테리어도 독특하고 버거맛과 소스맛이 진해서 진짜 소고기패티 수제버거 맛을 제대로 느낄 수 있네요. 반숙계란과 베이컨 수제소고기패티 치즈 앙상추와 살짝 매콤한 소스에 조화가 일품인 베이컨버거세트 세트에는 감튀와 탄산음료 포함저희는 감튀대신 어니언링으로 교체 어니언링 사각사각 씹히는 양파맛이 좋아요.그리고 저는 파인애플이 들어 간 하와이언버거 단품으로 주문했는데 밀크쉐이크와 완전 둘이 잘 어울려요.달지 않고 감칠맛이 최고랍니다.수제버거는 비싸다는 생각 no no 외대앞이라 학생들주머니에 가격을 맞춰서 가성비도 최고 맛도 영양도 한끼 식사로 충분합니다.맛있는 수제버거집 인정,"인테리어(Positive), 버거맛(Positive), 버거 세트 조화(Positive), 어니언링(Positive), 가성비(Positive)"
153스트리트,담백한 맛.,담백한 맛(Positive)
