StoreName,Review,Keyword,Sentiment
삭 이대,최고의 김말이,김말이,Positive
삭 이대,예전엔 떡볶이가 안 그랬는데 신맛 추가오징어튀김의 오징어가 넘 작음,떡볶이,Negative
삭 이대,예전엔 떡볶이가 안 그랬는데 신맛 추가오징어튀김의 오징어가 넘 작음,신맛,Negative
삭 이대,예전엔 떡볶이가 안 그랬는데 신맛 추가오징어튀김의 오징어가 넘 작음,추가오징어튀김,Negative
삭 이대,예전엔 떡볶이가 안 그랬는데 신맛 추가오징어튀김의 오징어가 넘 작음,오징어 크기,Negative
삭 이대,맛있어요 폭식했어요,맛있어요,Positive
삭 이대,맛있어요 폭식했어요,폭식했어요,Positive
삭 이대,주문하면 튀김 바로 튀겨줘서 좋았지만기대를 많이해서인지 저는 평범했어요!,튀김 바로 튀겨줘서,Positive
삭 이대,주문하면 튀김 바로 튀겨줘서 좋았지만기대를 많이해서인지 저는 평범했어요!,기대를 많이해서인지 평범했어요,Negative
삭 이대,적당히 간이되어있는 바삭한 튀김. 크기도 꽤 커서 먹을때 큰 만족감을 줌. 전체적으로 모든 튀김이 다 맛있으나 바나나튀김은 개인적으로 왜 있는지 잘 모르겠음.튀김은 떡볶이와 함께하면 더욱 좋으나 약간 매운편이니 매운걸 못먹는 사람들은 확인해보는게 좋을 것 같음.근처에서 튀김 맥주가 먹고싶을때 또 들를듯함,바삭한 튀김,Positive
삭 이대,적당히 간이되어있는 바삭한 튀김. 크기도 꽤 커서 먹을때 큰 만족감을 줌. 전체적으로 모든 튀김이 다 맛있으나 바나나튀김은 개인적으로 왜 있는지 잘 모르겠음.튀김은 떡볶이와 함께하면 더욱 좋으나 약간 매운편이니 매운걸 못먹는 사람들은 확인해보는게 좋을 것 같음.근처에서 튀김 맥주가 먹고싶을때 또 들를듯함,음식 만족감,Positive
삭 이대,적당히 간이되어있는 바삭한 튀김. 크기도 꽤 커서 먹을때 큰 만족감을 줌. 전체적으로 모든 튀김이 다 맛있으나 바나나튀김은 개인적으로 왜 있는지 잘 모르겠음.튀김은 떡볶이와 함께하면 더욱 좋으나 약간 매운편이니 매운걸 못먹는 사람들은 확인해보는게 좋을 것 같음.근처에서 튀김 맥주가 먹고싶을때 또 들를듯함,바나나튀김,Negative
삭 이대,적당히 간이되어있는 바삭한 튀김. 크기도 꽤 커서 먹을때 큰 만족감을 줌. 전체적으로 모든 튀김이 다 맛있으나 바나나튀김은 개인적으로 왜 있는지 잘 모르겠음.튀김은 떡볶이와 함께하면 더욱 좋으나 약간 매운편이니 매운걸 못먹는 사람들은 확인해보는게 좋을 것 같음.근처에서 튀김 맥주가 먹고싶을때 또 들를듯함,매운편,Negative
