menu_name,menu_price,menu_description
바질페스토 감자뇨끼,"가격: 22,000",몽글몽글 포실한 감자뇨끼와 바질페스토 크림소스. 고소하고 담백한 맛
"신호등 뇨끼 밀키트 ( 단호박 크림소스, 바질크림소스, 볼로네제 토마토소스)","가격: 13,900",4만명의 비아 손님이 인정한 뇨끼..!! 1.5만 그릇 누적판매. 이제 집에서도 간편하게 레스토랑 메뉴를 드실 수 있습니다. 스마트 스토어에서 구매가능.
클래식 라자냐 (생면),"가격: 22,000",생면 파스타를 볼로네제 소스와 구운가지와 함께 겹겹이 쌓아 모짜렐라 치즈를 듬뿍 올려 오븐에 구운 클래식한 라자냐
부라타치즈,"가격: 21,000","믹스야채와 베이비루꼴라, 체리토마토, 후레쉬 부라타 치즈. 식전에 입맛을 살리는 안티파스티"
코톨레타 밀라네제,"가격: 25,000","밀라노식 커틀렛을 비아 스타일로 재해석한 뼈등심 커틀렛, (믹스야채와 메쉬감자)"
볼로네제 뇨키,"가격: 23,000",SbS 생방송 투데이 먹킷리스트에 선정되어 방영된 제품. 볼로네제와 관찰레로 맛을 낸 토마토소스의 뇨끼
파파르델레(생면),"가격: 21,000","베이컨과 포르치니 버섯, 고기육수로 맛을 낸 소스와, 매장에서 직접 반죽한 생면 파파르델레."
와인 세트 메뉴,"가격: 77,000","부라타치즈,마팔디네,코돌렛타,와인2잔 선택"
마팔디네,"가격: 23,000",설명 없음
콘낄리에,"가격: 21,000",설명 없음
까사레체,"가격: 23,000",설명 없음
생트러플 파케리,"가격: 34,000",설명 없음
링귀니 스콜리오,"가격: 24,000",설명 없음
초리조 스파게티,"가격: 21,000",설명 없음
채끝 스테이크(200g),"가격: 45,000",설명 없음
까르토치오,"가격: 35,000",설명 없음
별두라 샐러드,"가격: 19,000",설명 없음
까르파치오,"가격: 22,000",설명 없음
