menu_name,menu_price,menu_description
한우육회,"가격: 3,600",쫄깃 고소 달콤한 육회!
생연어,"가격: 3,800",안녕유부의 자랑 생연어!
안녕유부 2ps,"가격: 3,000",유부와 밥의 환상적인 만남!
스크램블 에그,"가격: 2,300",최강의 부드러움!
청양참치마요,"가격: 2,500",청양고추가 약간의 느끼함마저 깔끔하게!
와사비크래미,"가격: 2,500",알싸한 와사비와 크래미의 만남!
소고기김치,"가격: 2,500",김치와 소고기의 만남!
쌈장삼겹,"가격: 2,500",누구나 아는 그 맛!
소불고기,"가격: 2,500",말그대로 소불고기!
톡톡날치알,"가격: 2,800",입안에서 톡톡 터지는 날치알!
타코와사비,"가격: 2,800",쫄깃함과 알싸함의 만남!
매콤크림새우,"가격: 3,000",자칫 느끼할수있는 크림을 매콤함이 싹 날려드립니다!
고추장삼겹,"가격: 3,000",돼지불고기소스와 삼겹의 만남!
단짠우삼겹,"가격: 3,500",단짠은 국룰!
구운연어,"가격: 3,800",생연어를 맛봤다면 구운연어도!
유부우동,"가격: 5,500",유부와 우동의 찰떡궁합!
어묵우동,"가격: 6,500",엄선한 어묵의 맛이 살아있는 우동!
새우꽃게우동,"가격: 6,500",해장으로 제격인 매콤한 우동라면!
차돌양지우동,"가격: 8,000",풍미가득한 육향이 살아있는 우동!
치즈우동볶이,"가격: 7,000",떡볶이에 빠진 우동! 누구나 좋아하는 그 맛!
장어구이,"가격: 3,500",설명 없음
차돌치즈우동볶이,"가격: 9,000",설명 없음
