menu_name,menu_price,menu_description
해물파전,"가격: 12,000",설명 없음
김치전,"가격: 12,000",설명 없음
김치치즈파전,"가격: 16,000",설명 없음
고추전,"가격: 12,000",설명 없음
깻잎전,"가격: 12,000",설명 없음
감자전,"가격: 13,000",설명 없음
오삼불고기,"가격: 16,000",설명 없음
치즈계란말이,"가격: 13,000",설명 없음
메밀전방,"가격: 9,000",설명 없음
골뱅이무집,"가격: 15,000",설명 없음
해물라면전골,"가격: 13,000",설명 없음
A set 파전+생선+닭도리탕+옥수수콘+떡볶이+음료,"가격: 43,000",설명 없음
B set 파전+메일전영+고추전+옥수수콘+떡볶이+음료,"가격: 34,000",설명 없음
C set 파전+해물팡뽕+옥수수콘+떡볶이+음료,"가격: 26,000",설명 없음
D set 파전+곱창전골+옥수수촌+떡M이+지핑막걸리,"가격: 26,000",설명 없음
E set 파전+도토리묵+옥수수콘+떡볶이+음료,"가격: 21,000",설명 없음
F set 파진+닭발+옥수수콘+떡볶이+음료,"가격: 25,000",설명 없음
H set 파전+꼬치오뎅탕+옥수수콘+떡볶이+음료,"가격: 25,000",설명 없음
I set 파전+강치치즈파전+옥수수콘+떡볶이+음료,"가격: 29,000",설명 없음
J set 파전+홍합낙자탕+옥수수콘+떡볶이+음료,"가격: 28,000",설명 없음
G set 파전+치즈계란말이+옥수수븐+떡튀이+음료,가격 정보 없음,설명 없음
