가게명,Review
회기왕족발보쌈,셋이서 갔고 이른 저녁으로 배가 별로 안 고파서중 사이즈 막국수 소로 시킨다고 했더니3000원 추가해서 대 사이즈 시키라고 눈치줌아니 눈치준 것도 아니고 거의 강요하는 느낌...손님이 먹고 싶은 사이즈를 맘대로 못 시키는게... 차암김치는 기본 김치도 없고 무조건 만 원 넘는 김치 돈 주고 먹어야함족발 양도 그리 많지 않고 맛도 평범한데굳이 여기까지 가서 먹을 바엔 차라리 나는 집에서 배달로 김치는 무료에 맛도 비슷한 집에서 편하게 먹겠음..어르신들도 많고 연령층도 다양하던데 사실 음식이나 서비스는 경험적이고 주관적이니까 참고만 하시길저는 재방문 없습니다
회기왕족발보쌈,김치는 괜찮아요
회기왕족발보쌈,족발은 무난 막국수 앤 김치 대존맛!! 다음엔 보쌈을 도전!
회기왕족발보쌈,부드러운 보쌈 달달한 김치 아 이런 곳 잘 없다. 김치가 매우 특별함! 불친절함은 경우에 따라 느낄 수 있을 정도! 본인은 신경 안 쓴다.
회기왕족발보쌈,
회기왕족발보쌈,인생 보쌈을 만났습니다.. 족발은 평범했고 보쌈이 진짜 엄청납니다... 보쌈김치도 최고
회기왕족발보쌈,예전같지 않긴 함 그래도 준수한 편임
회기왕족발보쌈,여기는 보쌈집인 듯. 김치 야무져요
회기왕족발보쌈,보들보들한 보쌈과 같이 먹는 김치가 진짜 맛있었어요!!♥️♥️
회기왕족발보쌈,보쌈이랑 막국수 맛나네요.
회기왕족발보쌈,다들 족발 왜 맛있다는 평이 많은건지 진짜 이해가 안가네요. 세명이 간건데 족발 소짜가 1인분이라며 보쌈 좋아하시는 분들은 족발하나 보쌈하나 이렇게 시키고 아니면 세명이니까 족발하나 보쌈하나에 쟁반국수 하나 시키는 분들도 많다 하심.. 이건 옆에 테이블에도 이런식으로 굳이 멘트를 하시더라구요.중요한건 맛.. 저희는 3명이라 일단 족발 대자를 주문했습니다. 족발을 먹으니 짜고 살코기는 퍽퍽하고 뼈에붙은 살코기는 다른 가게들은 보통 잘 떨어지는데 건치인 이가 아플정도라 포기했습니다. 막국수도 진짜 맛없었는데 족발이 느끼해서 곁들어먹었어요.주인이 바뀐건지 원래 이런데인지는 모르겠지만 다시 찾아갈 이유가 없네요. 시장족발보다 못한 맛이에요
회기왕족발보쌈,시끄럽지만 맛있습니다
회기왕족발보쌈,보쌈 존맛 김치포함 사이드 싹다 맛없는게없음 이집은 족발보다는 보쌈입니다
회기왕족발보쌈,검색하면 추천 순위 상위권이어서 가봤더니동네 시장 족발만도 못하네요냉족 파는 곳도 아닌데 차갑고 질기게 나옵니다네이버 구글 후기 믿지 마세요
회기왕족발보쌈,보쌈 맛있다 너무너무.........막국수도 양념 끗내준다...........먹고나서 하루종일 속이 더부룩하지 않아서 신기했다
회기왕족발보쌈,족발은 그냥 평범했습니다. 실내가 너무 시끄러워서 대화가 잘안됩니다
회기왕족발보쌈,족발보다는 보쌈이 굿사람이 많아서 시끄럽고 좁긴함
회기왕족발보쌈,맛있어요 . 사람이 많아서 좀 시끄럽... 사진은 소짜
회기왕족발보쌈,김치가 맛있음
회기왕족발보쌈,맛있어요! 근데 밑반찬이 좀 아쉽고 자꾸 요청사항을 까먹어요
회기왕족발보쌈,맛있다아
회기왕족발보쌈,꽤 맛집인건 사실. 김치 양념이 좀 특별함
회기왕족발보쌈,소주 맥주 막걸리 5000원
회기왕족발보쌈,음식이 잘못나와도 그냥 드셔야해요 아주머니가 계속 큰소리로 제가 잘못이라고 하시길래 그냥 먹었습니다 분명 족발이라고 말했었는데.
회기왕족발보쌈,
회기왕족발보쌈,반찬 많아서 좋음
회기왕족발보쌈,막국수가 특히 맛있어요
회기왕족발보쌈,맛있는데 갈때마다 김치맛이 바뀌는 기분..? 그때그때달라요
회기왕족발보쌈,보쌈은 존맛탱입니다!아래분들 말씀처럼 비계가 많은건 사실
회기왕족발보쌈,예전에 맛있게 먹었던 기억이...어느분 말처럼 이제 보내줄때가 되었나봐요..비계가...와.. 프렌차이즈 보쌈을 추천합니다
회기왕족발보쌈,보내즐때가 되었네요고기원가를 줄인건지고기납픔업체가 잘못된건지이런 보쌈은 돈받고먹으라해도 힘들듯 하네요
회기왕족발보쌈,맨손으로 고기 자르고 카드 받아서 계산하고 마스크 쓰지도 않고 족발 자르면서 대화하고 위생개념이 없네요. 맛은 그냥 보통
회기왕족발보쌈,최고다
회기왕족발보쌈,진짜 맛있어요. 특히 보쌈이랑 김치 .. 말을 잃음. 그냥 맛있어요 엄청 엄청!!!!
회기왕족발보쌈,맛있는데 뽑기운 필요하고 친절함은 그냥저냥보쌈 김치가 진짜 맛있지만 고기를 기름 없는 부위 주거나 기름만 많은 부위 주는 경우 허다해서뽑기 실패하면 맛없어요족발 솔직히 굳이 먹으러 갈 이유는 없음 무난함
회기왕족발보쌈,사람은 많고 유명한거같긴한데 요샌 맛있는 족발집이 많아서 굳이 찾아서 갈 정도는 아닌듯합니다. 족발이 식어서 나오고 김치는 14000원 추가해야 줍니다.
회기왕족발보쌈,맛있고 친절하시당 다만 양념이 좀 달아서 하나 뺌
회기왕족발보쌈,보쌈 막국수 굳!!!
회기왕족발보쌈,보쌈리뷰 이건 취향차이인것 같은데 개인적으로 시원하고 아삭아삭한 보쌈 배추김치보다는 무김치를 더 좋아하기때문에 김치에서 조금 아쉽다는 생각이 들었어요.그래도 김치속재료가 다양해서 먹는 재미가 있었어요.고기도 부드럽지만 계피향이 강해요. 담백한 맛 보단 윤기있고 달며 계피향이 많이 나는 고기에요.
회기왕족발보쌈,김치는 보통 보쌈집보다는 맛있는데 보쌈 양이 적음
회기왕족발보쌈,생각보다 맛은 평범
회기왕족발보쌈,앞다리살중에서도제일 뻑뻑한 부위를수육으로 쓰다니..제육볶음용인데...드럽게 뻑뻑하니깐조심하세요
회기왕족발보쌈,족발은 다 식어서 차고 맛없어요가게에 다양한 연령대의 손님들이 계신다는건 맛있다는 뜻인데 잘 모르겠어요..
