store_name,content
봄의정원 회기점,듣던 대로 음식도 맛있고 분위기도 좋고 다음에 와인 한 잔 하고 싶습니다. 구름 떡볶이 비주얼은 인정합니다.
봄의정원 회기점,"콜키지 한 병 무료로 되는 게 너무 좋아요! 음식도 가성비 좋고 맛있었습니다💖 분위기도 좋고 음식 사진도, 인물 사진도 엄청 잘 나와요!"
봄의정원 회기점,너무 맛있게 먹고 갑니다~^^
봄의정원 회기점,정말로 편안하고 좋은 시간이었습니다.특히 많이 배려해주셔서너무 감사합니다.
봄의정원 회기점,초등학교6학년 졸업후 38년 지기들의 송년모임.여자친구들3남자친구들4 남자친구들은 소주 안파는 모임장소를 접하고 난색을 표현 했으나 정갈한 음식과 색다른 와인으로 모두 만족했던 봄의정원.도움주시는 분들 인상도 좋고 넘 잘생겨서.에헴.ㅎ다음에 또 댕겨 가겠습니다.
봄의정원 회기점,다양하게 시켜서 먹었는데 다 맛있었어요~ 특히 떡볶이가 개인적으로 제일 맛있었네요~^^*
봄의정원 회기점,분위기가 너무 좋고 콜키지프리라서 더욱 좋았어요직원분들이 다 친절하시고 음식도 맛있어요
봄의정원 회기점,음식이 차갑습니다 대쩨로 짭니다
봄의정원 회기점,라구 파스타에 마늘 후레이크?가 따로 나와서 맛있어용음식이 늦게 나와서 음료 서비스도 주셨어요 💗 감사합니당
봄의정원 회기점,"음식이 다 맛있어요!분위기 내면서 다양하게 먹을수 있는 레스토랑칭찬해요!네이버에서 예약하면, 음료쿠폰으로 음료 1병 마실 수 있어요."
봄의정원 회기점,모임 후 회식으로 갔는데 이만 한 곳도 없어요~ 분위기도 너무 좋고 음식은 다 맛있답니다! 구름떡볶이 진짜 강추에요~ 그리고 모든 메뉴 양이 많은 편입니다~♡
봄의정원 회기점,부모님과 같이 방문했는데 예약 시간보다 좀 더 일찍 도착했지만 메뉴들이 다 비슷한 시간때에 따뜻하게 나와서 좋았어요 ㅎㅎ 부모님의 취향에 맞을까 했는데 예상보다 더 맛있고 잘 드셔서 뿌듯했어요 직원분들도 친절하셨고 재방문 의사 있어요 ㅎㅎ
봄의정원 회기점,맛있고 분위기도 좋습니다~~~^^ 언제나 만족해요!!!
봄의정원 회기점,음식 빨리 나오고 분위기 가성비 좋아요그런데 건물주가 주차를 못하게 합니다ㅜㅜ주차는 다른 곳에~
봄의정원 회기점,"파스타 맛있고, 매장 분위기도 좋아요!"
봄의정원 회기점,분위기도 좋고 음식도 맛있어요~
봄의정원 회기점,시그니처 메뉴만 시켰는데. 항상 시킬때마다 떡볶이가 매웠다는걸 까먹고 자꾸 시키네요.  ㅋ 저는 매운거 좋아하는데 매운거 못 드시는분들은 주의해서 시키셔야 할듯 합니다.  볶음밥은 맛있어여~
