store_name,content
쭈꾸미블루스 신촌본점,"바쁜 시간을 몰아치고 저희가 방문한거라 손님은 없었는데 자리가 거의 안치워져 있더라구요ㅠ 입구쪽을 치워주셔서 그쪽에 앉았는데 문이 열리면서 좀 추웠어요가격대비 비싼 편입니다만, 저는 나쁘지 않았어요일단 계란찜이 너무너무 맛있어요ㅋㅋㅋ 짭짤해서 계속 들어가는 맛! 다 먹으면 리필 해주셔서 좋았어요쭈삼도 매콤하니 맛있었어요. 매운 거 못드시는 분들은 먹기 힘드실 것 같아요.저는 고기보다 쭈꾸미가 맛있더라고요. 고기는 질 좋은 부위는 아닌 것 같다..? 아쉬웠어요. 쭈꾸미는 완전 맛있어용쭈꾸미 드시는 분들 콩나물이랑 깻잎 잘 잘라서 같이 드세용"
쭈꾸미블루스 신촌본점,신촌서  친구랑 볼일보고 쭈꾸미 땡겨 검낵해서 방문했어요 인터리어 너무 재밌고 맛도  좋아요 맵파인 저에게는 굿~청양고추도  ♡친구가  매워  콩나물과  사장님도 친절하시고  좋아요~~~~~방문 추천요^^
쭈꾸미블루스 신촌본점,양이 많고 양념이 너무 맛있어서 만족스러웠어요 ㅎㅎ삼겹살에 쭈꾸미까지 조합이나 구성이 좋아서자주 올 것 같은 예감이~~ㅎㅎ다들 친절하시고 음식도 맛있어서 앞으로 자주 방문하려구요 잘 먹었습니다 ㅎㅎ
쭈꾸미블루스 신촌본점,"쭈꾸미 전문점이라 그런지 확실히 식감도 좋고 요리 괜찮았어요! 처음 먹어본 쭈꾸미삼겹살 개인적으로 마음에 들었고, 쭈꾸미 땡길 때마다 재방문 의사 완전 있습니다!"
쭈꾸미블루스 신촌본점,쭈꾸미삼겹살인데요 그중에서도 분위기도 예술이고 맛도 좋은 쭈꾸미블루스!!!!쫀득하고 너무 맛있었어요!!잘 먹고 갑니당!!새우도 같이 잇고 양념도 진짜 맛있어서 나중에 밥 볶아먹어도 최고인듯
쭈꾸미블루스 신촌본점,여기 처음 와보는데 굉장히 맛집이였습니다. 쭈꾸미 삽겹살과 잘 어울리는 밑반찬들도 잘 나오고 메인 쭈꾸미삽겹살은 뭐 말할 거 없이 굉장히 맛있었습니다. 대학가가 많다보니 손님이 엄청 많았는데 그래도 순환이 빨라 오래 기달리지 않았어요~ 인테리어도 너무 잘되어 있고 좋았습니다!!]
쭈꾸미블루스 신촌본점,쭈꾸미가 정말 신선하네요~! 쫄길쫄깃한데 질기지않아서 맛있게 잘먹었어요~ 약간 맵찔이인데 맛있게매워서 술술 먹히더라구요 ㅋ 안주도되고 밥도되서 든든하게 잘먹었어요 술도 술술 잘들어가요! 모임장소로 딱이예요 ㅋ
쭈꾸미블루스 신촌본점,오랜만에 신촌 와서 밥 먹으려고  맛집 검색 하니 후기도 많고 평도 좋아서 쭈꾸미 먹고 왔어요. 마요네즈 소스에 김이랑 싸서 먹으니 넘 맛있더라구요. 같이 나오는 찬들도 맛있고 한끼 푸짐하게 먹고 왔어요. 맛 집 인정이에요.!
쭈꾸미블루스 신촌본점,가족들이랑 쭈꾸미 먹으러 왔습니다 양도 푸짐해서 든든한 한 끼 먹었네요! 쭈꾸미가 쫄깃하고 싱싱한게 아주 맛있습니다! 가게 분위기도 좋고 내부도 깔끔+ 쾌적하네요 ^^ 잘 먹고 갑니다 ~ 사장님도 친절하시고 서비스도 좋아요 ><
쭈꾸미블루스 신촌본점,쭈꾸미 원래 좋아해서 많이 먹으러다니는데 쭈꾸미블루스 역대급입니당ㅎㅎㅎ양념이 찐으로 맛있고 쭈꾸미가 탱탱쫄깃해용볶음밥까지 싹싹 야무지게 긁어먹고왔습니다!!! 양도 많아서 배불러여
쭈꾸미블루스 신촌본점,쭈꾸미 환장하는 남자친구랑 다녀왔어요 ㅎㅎ 분위기도 좋고 사장님 직원분들 너무 친절하시고 일단 쭈꾸미 기가막힙니다 진짜 계란찜도 너무 맛있어요 셀프코너도 잘되어있고 진짜 배터지게 잘 먹고 마무리 볶음밥까지 쓱 긇어 먹고 나왔네용 ㅎㅎ 다음에 또 방문할게욥 ㅎㅎ
쭈꾸미블루스 신촌본점,"신촌에서 가히 쭈꾸미 볶음이 최고로 맛있는 집이에요. 가게 외관 인테리어도 놀라웠지만, 내부는 옛날 레트로 감성의 인테리어가 정말 훌륭했어요. 마치 추억속 박물관을 온듯한 느낌이 있습니다. 분위기 좋고, 인테리어에 정말 몇 억은 쓴 듯한 느낌을 받았어요쭈꾸미는 달달하며 감칠맛 있는 맛이였고, 크게 맵지는 않았네요. 셀프코너가 잘 되어 있어서 좋아하는 깻잎쌈 많이 싸먹을 수 있었어요. 불판에 치즈와 계란찜까지 제공 됩니다. 그리고 신기한게 여기는 소주가 4천원이였고요. 볶음밥은 정말 맛있고 양 많으니 꼭 드시고 오시길 추천드릴게요"
쭈꾸미블루스 신촌본점,사진을 보고 주문을 했는데 사진과 너무도 다르게 나왔고 1인분에 18000원..별 설명이 없길래 1~2인분 인줄알았는데..ㅎ 총 2인분에 36000원!! 공기밥도 추가해서 따로 먹어야 하구요! 밥도 누랗고 만든지 좀 된건지는 모르겠지만 푸석한 느낌?또 콘치즈가 사이드에 깔려서 나오는줄 알았는데 저 조그마한 부분에 한숟갈정도..?나왔습니다전체적으로 맛도 너무 별로였고 다시는 안 갈 맛입니다 절대 가지 마세요 돈만 날립니다 ㅎㅎ
쭈꾸미블루스 신촌본점,동료들과의 간만 회식!
쭈꾸미블루스 신촌본점,매운맛이최고
쭈꾸미블루스 신촌본점,음식은 맛있었는데 매번 주문을 하면 너무 오래 기다려야되고 볶음밥은 끝까지 안 가져다 주셔서 취소하고 나왔어요.
쭈꾸미블루스 신촌본점,"진짜 최악입니다 두 번 다시 안 옵니다서비스,맛,위생예전과 전혀 다르고 무엇보다너무 덥습니다"
쭈꾸미블루스 신촌본점,"국물맛이 그냥 기성품 라면국물맛, 2인분기준 38000원이지만 양이 아주아주 적음. 절대 비추천할 곳이에요."
쭈꾸미블루스 신촌본점,"친구와 한 번, 너무 맛있어서 바로 엄마 데리고 또 한 번, 그리고 오랜만에 쭈꾸미가 다시 땡겨서 남자친구 데리고 다시 한 번 !! 추운 겨울날에 처음 맛봤던 쭈꾸미였는데 여름에도 너무 매콤하고 맛있었습니당 ㅎㅎ 오픈에 맞춰갔더니 사람도 없고 좋았어요. 리뷰에 불친절하다는 내용이 있어 그새 분위기가 바뀌었나 싶었는데 사장님 너무 친절하셨고 하나하나 다 도와주시고 필요한 거 바로 주셔서 맛있게 먹구 왔습니다!! 치즈랑 계란찜이랑 홍합탕이 진짜 맛도리인데 역시 잘 비워먹었고요. 다만 이전보다 가격은 오른 것 같은데 양이 많지는 않은 것 같아서 조굼 비싸다고 느껴지긴 했습니다 😢 그래도 또 찾아갈 거에요🩷"
쭈꾸미블루스 신촌본점,친구들이랑 오랜만에 만났는데 신촌역 바로 앞이라 더운 날씨에 많이 안 걷고 좋았습니다~~!!쭈새로 시켰고 쭈꾸미가 통통해서 탱글하니 식감이 넘 좋고 특히 같이 나오는 홍합탕이 완전 술안주에욯ㅎㅎㅎ그리고 여기 계란찜이 무한리필이라 2번이나 추가해 먹었어요!!! 여기저기 리필하는데도 직원분들 친절하셔서 더 기분 좋게 먹고왔습니다🙂
쭈꾸미블루스 신촌본점,쭈꾸미가 예술이에요! 친구가 쭈꾸미 맛집 있다고 추천해줘서 왔는데 완전 제가 딱 좋아하는 감성의 맛집이에요 오랜만에 친구들끼리 수다떨고 술 한잔 했습니다 ㅎㅎ 너무 분위기 좋고 한 번 더 오고싶다는 생각을 했어요 쭈꾸미를 비롯해서 무한리필로 주시는 홍합탕까지.. 거를 타선이 없습니다.. 잘 먹었어요!
쭈꾸미블루스 신촌본점,노포 느낌이여서 좋았고 단체로 오기 좋더라구용쭈꾸미 크기도 커서 식감도 좋고 신선한게 느껴졌고삼겹살도 맛있었어요 양념 맛도 너무 자극적이지 않아서맛있게 먹었고 푸짐하게 나와서 배불리 먹었네요ㅎㅎ앞으로 쭈삼 먹고 싶으면 여기로 올려구용😊 잘먹고 갑니다~~
쭈꾸미블루스 신촌본점,노포느낌 물씬❤️💛 쭈꾸미 맛집 쭈꾸미블루스 콩나물많이 달라고 요청햇더니 듬뿍 주셨어요 양념이 대박 맛있어요 여름막바지에 입맛도 없고 매콤한게 당겨서 방문했는데 입맛이 돌아서 죽겠네요 😍👍 같이 주시는 계란도 보드라울때 쭈꾸미랑 같이 먹으면 진짜 맛있어요 ~! 도보로 방문 하셔서 쭈꾸미랑 쏘주 한잔 하시는거 어떠세요 근심걱정이 사라지는 맛 도보로 방문하기 편한 곳이라 추천 드려요💓
쭈꾸미블루스 신촌본점,음식 맛잇어요! 추천벋아서 왔는데 밑반찬도 맛잇고 은근 양이많운거같아요! 콩나물 좋어해서 많이먹엇는데 많이주서서 넘 좋았습니당 ㅎㅎ 직원분들도 다들 너무 친절하셔어ㅠㅠㅠ쏘스윗 담에 또올게용 많이맵지도않아서 더더더 만족하고 이렇게 리뷰달아오! ㅎㅎ친구도 맛잇다고 해서 좋아요
쭈꾸미블루스 신촌본점,맛있어요~
쭈꾸미블루스 신촌본점,지인들과의 모임이 있어서 방문했는데 역에서 가까워서 다들 쉽게 찾아갈 수 있었습니당노포 분위기 제대로라서 너무 좋았어요! 음식은 말할 것도 없이 맛있었구요ㅎㅎ쭈꾸미는 탱글탱글 양념은 적당히 매콤! 계란까지ㅎㅎㅎ 덕분에 지인들이랑 즐거운 시간 잘 보내고 왔습니다 :)
쭈꾸미블루스 신촌본점,"쭈삼 많이 먹어봤지만 여기가 꽤 특별한 것 같아요(볶음 재료 밸런스, 깊은 양념만, 육질/신선도 등)회사 동료들과 즐거운 회식 자리 가졌습니다!!소주 한주로 최고네요~ 밑반찬으로 나온 홍합탕도 짱 얼큰 ㅋㅋ"
쭈꾸미블루스 신촌본점,쭈꾸미 톡톡 터지는 식감이 좋고 매운거 여기 자주 먹으러 와요. 여럿이올땐 예약하고 오면 더 편하게 먹을 수 있구용 매운거 잘 못먹어도 마요네즈찍어서 깻잎싸먹으면 충분히 먹을 수 있어용ㅋㅋㅋ 진짜 너무 맛있어요!! 6명이서 8인분 먹고 밥도 먹고 배터지게먹었어요 홍합탕도 엄청 맛있습니다 여기! 강추 가게 노포감성으로 꾸며놔서 하나의 구경거리입니다.
쭈꾸미블루스 신촌본점,"신촌역에서 딱 가까워서 찾기 쉬워요! 가게내부도 레트로 감성 넘쳐요. 저희는 쭈새 주문했어요 철판에 쭈꾸미랑 새우해서 같이 구워먹는데, 진짜 맛있어요. 가성비가 좋아서 든든하게 먹을 수 있고요. 특히 홍합탕이랑 계란찜은 무한리필이라 계속 리필해 먹는 재미도 쏠쏠해요. 마지막으로 치즈볶음밥까지 먹으면 완전 대만족! 매콤한 게 땡길 때 강추해요!"
쭈꾸미블루스 신촌본점,노포 느낌 완전 제대로여서 친구들이랑 모임하기 너무 좋은 장소인거 같아요 ! 쭈꾸미랑 야채들 재료도 전체적으로 다 신선하고 쭈삼은 역시나 너무 맛있꼬 양념도 감칠맛 나고 정말 맛났어요 ㅎㅎ 양도 많고 사장님이 넘 친절하셔서 기분이 좋았습니당 ㅎㅎ 가격도 착하고 또 재방문할게요 ~!
쭈꾸미블루스 신촌본점,맛있고 친절해요
쭈꾸미블루스 신촌본점,"네이버지도에서 검색하고 갔는데 위생이 무척 아쉬웠습니다ㅠㅠㅠ 벽지 다 기름과 소스로 오염되어 있고, 인테리어 되어있는 장식품들도 먼지가 많이 쌓여있었습니다. 레트로란 명목 아래 위생관리를 회피하고 있는 것 같네요…"
쭈꾸미블루스 신촌본점,간만에 찾은 옛 추억의 집~에어컨이 약해 여름엔 좀 덥네요그래도 사장님 친절하시고계란물과  홍합탕도 계속 리필 해주셔서볶음밥까지 넘 맛있게 먹고 왔어요~
쭈꾸미블루스 신촌본점,일하는 이모님이 너무 떽떽거려요.. 통제광인거같고 여기 밥을 먹으러 온건지 알바를 하러 온건지 싶어요… 이래라 저래라… 시끄럽게 함…
쭈꾸미블루스 신촌본점,굿
쭈꾸미블루스 신촌본점,쭈꾸미는 추가해서 먹었어요볶음밥은 쏘쏘..
