store_name,content
최원석의돼지한판&서해쭈꾸미 시립대점,일요일이라 와이프랑 아이랑 가까운 곳으로 고기먹으러 왔는데 너무 쫄깃하고 맛있습니다. 쭈꾸미도 너무 맛있어요. 가족끼리 방문하기 너무 좋습니다.
최원석의돼지한판&서해쭈꾸미 시립대점,고기 먹으러 멀리서왔어요 여기 고기 진짜 맛있어요 기술자의 솜씨로 맛있게구워주셔서 최상의 맛을 느낄 수 있어요!!그리고 고기만 맛집인줄 알지만 쭈꾸미도 미쳤다는거 쭈꾸미 여기서 먹고 집에서부터 1시간 걸리는데도 여기로 먹으러와요👍👍
최원석의돼지한판&서해쭈꾸미 시립대점,고기가 너무 좋네요 !서울 놀러와서 친구랑 먹으러 왔는데때갈도 좋고 맛도 좋습니다!아이들과 함께왔어요 ^^
최원석의돼지한판&서해쭈꾸미 시립대점,"고기도 두툼하고, 직접 구워주셔서 먹기 편했습니다! 가게 분위기도 깔끔해서 데이트하기에도, 회식하기에도 너무 좋습니다."
최원석의돼지한판&서해쭈꾸미 시립대점,시립대 맛집이라 해서 방문했습니다! 직접 구워주셔서 편하고 맛있어요!!
최원석의돼지한판&서해쭈꾸미 시립대점,"고기가 신선하고 맛있어요!!직접 구워주셔서 편하게 먹을 수 있어요👍🏻반찬도 잘 나오고, 된장찌개도 서비스로 나와요!!!다음에도 돼지고기 먹고싶을 때 들릴게요😆"
최원석의돼지한판&서해쭈꾸미 시립대점,직접구워주시고 맛이좋아요. 자주방문할게요 주차도 편해요
최원석의돼지한판&서해쭈꾸미 시립대점,시립대 근처 괜찮은 고기빕입니다! 모임하기 좋아요! 추천합니다~~
최원석의돼지한판&서해쭈꾸미 시립대점,고기가 너무 맛있어요^^정말 크리스마스 좋은날 좋은곳에서..^고기 잘 구어주셔서 맛잇게먹었어요~
최원석의돼지한판&서해쭈꾸미 시립대점,고기를 구워주셔서 가족들끼리 편하게 먹을 수 있어서 좋아요. 다음에 또 방문하고 싶어요 :) 직원분들도 친절하셨어요. 감사합니다.
최원석의돼지한판&서해쭈꾸미 시립대점,사장님이 정말 친절하고 고기를 잘 구워주셔서 행복하게 고기를 먹을 수 있었습니다
최원석의돼지한판&서해쭈꾸미 시립대점,매장고 넓고 깨끗하고고기도 맛있어요!다 구워주셔서 편합니다!
최원석의돼지한판&서해쭈꾸미 시립대점,여기 진짜 처음부터 끝까지 불친절히네요 기분이 너무 나쁩니다
