store_name,content
서가네 정육식당,고기
서가네 정육식당,상차림비도 저렴하고무엇보다 고기양이 많고질기지않고 냄새없이너무맛있어요
서가네 정육식당,친절하세요
서가네 정육식당,"깔끔하게 맛있게 먹었어요~!밑반찬 가지수도 많고 (사진에 안나온것도 있음)다 맛있고, 직원분들도 엄청 친절하셨어요된장찌개 리필도 말 안해도 계속 해주시네용번창하세요!!"
서가네 정육식당,음식도 깔끔하고  맛있어요
서가네 정육식당,맛있어요
서가네 정육식당,굿굿 가성비 좋고 단체모임하기도 조아여반찬 리필 조아여
서가네 정육식당,"소고기 질도 좋고 야들야들 너무 맛있고 양도 많아요~ 작은소 한마리 시켰는데 둘이서 다 못 먹을 정도예요! 매장도 깔끔하고 밑반찬도 잘 나와서 다음에 또 방문할 예정입니다~ 회기, 외대 소고기 맛집으로 강추합니다🫶🏻"
서가네 정육식당,맛있어요
서가네 정육식당,맛있게 먹느라 사진도 못찍었네요. 잘 먹었습니다.
서가네 정육식당,"오늘도 넘넘 맛있게 먹었숩니다💛간만에 돼지 한 마리로 먹었는데완전 알차게 먹었어요! 김치도 맛있어서 같이 구워서 먹으니까 행복 그 잡채,,사장님도 항상 친절하세요!!!"
서가네 정육식당,큰 소 한마리 냉면 이벤트 중이라 시켰는데 정말 맛있습니다! 가족 4인이서 배부르게 먹었어요 :) 서비스로 주신 비빔냉면도 맛있었습니다! 구어먹는 치즈도 리뷰 이벤트로 주셨는데 고기에 싸먹으니 아주 맛있었어요 😄 사장님도 정말 친절하시고 매장도 넓어서 모임하기 좋을 것 같습니당!!
서가네 정육식당,고기질도 좋고 양이 많아요!! 소고기 땡길때 자주 방문하는 집중 하나입니다 주말엔 대기가 있으니까 일찍 방문하시는거 추천!! 번창하세요
서가네 정육식당,이모님들이 서비스로 계란찜 주셨오요~^^맛있게 먹고 야채도 푸짐해요
서가네 정육식당,아이들과 함께 먹기에 좋아요~가격도 너무 착하고 고기맛도 좋아요!!가운데 된장찌개도 딱이예요~함께 나오는 반찬도 적당해서 고기 즐기기 좋습니다. 소한마리 냉면이벤트라 더 좋아요~^^ 매장이 깨끗하고 친절하게 대해주셔서 즐겁게 식사했습니다.
서가네 정육식당,3번째 방문하는 서가네 정육식당!!!! 일단 고기가 진짜 너무 맛있고 반찬이 종류가 많아서 여러가지 맛을 즐길 수 있어요큰소한마리 양도 많고 고기 질이 너무 좋아서 올때마다 만족하는 식당입니다사장님도 너무 친절하셔서 기분이 좋아지는 식당이에요맛있고 기분좋게 고기 드시고 싶으시면 이곳 추천드려요🧡
서가네 정육식당,처음 와봤는데 너무 깔끔하고 좋아요:)너무 친절하시고 음식도 다 맛있어서 완전 만족이에요!!!!반찬들도 다 신선하구 일단 고기 질이...👍👍새로 생긴 곳인거 같은데 이제 자주 오려구요~!
서가네 정육식당,동네 고깃집 찾다 방문했는데 고기가 너무 맛있어요 세트인데도 모든 부위가 맛있네요 친구랑 방문했는데 가족들이랑도 또 올래요 잘 먹고갑니다~
서가네 정육식당,2번째 방문입니당 !! 반찬 잘 나오고 무엇보다 쌈장이 특별하게 맛있네용 ㅎㅎ 퇴근 후 술 한잔 여기 너무 딱입니당 ㅎㅎ!!! 고기도 맛있고 가격도 저렴해요! 돼지한마리가 6만원인데... 나중에 도전해보겠슴당 ㅎㅋㅋㅋ 번창하셍요^__^
서가네 정육식당,"고기가 너무 맛있어요!정육식당이라 가성비도 좋고 일단 고기 질이 너무 좋습니다. 작은소 한마리 먹었는데, 고기 잡내하나없이 너무 맛있습니다. 고기는 앞으로 서가네 정육식당에 와서 먹어야 겠습니다24시 영업이라서 늦은시간에 갔는데 부담없이 먹을 수 있어서 좋았습니다.직원분들도 친절하시고 좋습니다.서가네 정육식당은 이문동 맛집입니다."
서가네 정육식당,맛이 죽여 줍니다~맛도 있지만 직원분들이 너무 친절하셔서 머리가 절로 숙여지게 되네요~아이랑 같이 와도 전혀 복잡하지 않고 여유롭게 먹을수 있어요~집앞에 이런 고기집이 있다는게 행운이죵~
서가네 정육식당,같은 회사 직원분 추천으로 왔어요!외대앞 소고기는 무조건 여기라면서~~ 진짜 맛있어요~~~ 육회 쫄깃 신선 고기도 고소하고 맛있는데 가격도 너무 착해요👍자주 와야겠어용!!!😆
서가네 정육식당,외대앞역 맛집 서가네 정육식당!풍성한 상차림과 질 좋고 맛좋은 고기!불판 중간에 찌개도 주는 진정한 고기 맛집오늘은 삼겹살을 먹엇지만이곳은 소고기도 맛잇다고 하니다음에는 소고기를 먹겠습니다!맛집 인정!
서가네 정육식당,가족식사 제격이에요
서가네 정육식당,고기 육향이 찐하고 맛있어요! 남으면 포장도 가능하니까 큰소로 드세요!! 냉면도 짱맛
서가네 정육식당,처음 방문했는데 고기 질도 너무 좋고 깔끔한 것 같아요! 사장님도 너무너무 친절하시고 다음에 또 방문할거같아요 ! ㅎㅎ 다들 오세요😋😋
서가네 정육식당,작은소한마리 시켰습니다~정말 고기 양이많고 너무 신선해서 재방문 했습니다😍직원분도 친절하시고 정말 너무 맛있게 먹었습니당~
서가네 정육식당,깔끔하고 맛있고 친절하세요!!재방문의사 100000%💓💓
서가네 정육식당,푸짐하고 친절해서 좋아요~~ 비냉도 맛있어요
서가네 정육식당,외대앞 가성비 최고 고깃집이에요! 24시간 하는것도 맘에 들고 매장이 넓어서 단체모임 하기에도 좋아요. 고기도 맛있고 식사도 맛있습니다
서가네 정육식당,우선 엄청 친절하세요~~~ 고기도 맛있고 서비스도 좋아서 완전 만족해요~~
서가네 정육식당,"팽이버섯, 된장찌개 리필이 메리트가 엄청나고차별화 된 장점이에여! 김치 구워먹을 수 있고고기 퀄리티와 식감이 정말 뛰어나서 남자친구와 제일 좋아하는 고깃집이에용 ☺️"
서가네 정육식당,큰 소한마리 양 많고 질도 좋고 맛있어요!대학가라 가성비 좋은 맛집으로 자주 찾는데 매장도 깔끔하고 친절해요~
서가네 정육식당,회식하기 정말 좋은 장소인것 같습니다. 고기도 저렴하고 품질도 너무 좋네요😀 맛있게 먹었습니다
서가네 정육식당,엄마 생일 기념 방문!!서비스도 주시고 너무 맛있게 먹었어요~~~
서가네 정육식당,지나가다 고기먹고싶어져서 갑자기 들리게됐는데 가성비도 좋고 고기질도 좋아서 너무 맛있게 먹고왔습니다! 종종 고기땡길때 찾아올 거 같아요 잘 먹었습니다 ㅎㅎ
서가네 정육식당,고기 싱싱해요 먹고먹고 또 먹고 싶어요여기 자리가 넓어서 단체로 오기 너무 좋고사장님이 완전 친절해용 ㅎㅎ
서가네 정육식당,매장 닫고 오면 시간이 늦는데늦은 시간까지 먹을 수 있는 곳이라 너무 좋고 너무 맛있어용 💛💛💛
서가네 정육식당,소한마리도 가격착하고 고기질도 좋네요. 삼겹살도 맛있어요.
서가네 정육식당,너무 맛있어요ㅠㅠㅠㅠ사장님 친절하시고 가게 깨끗하고 너무 좋네요!다음에 또 오겠습니당~~
서가네 정육식당,고기 넘 맛있어요 가격도 합리적이고 신선해요 이번이 세번째 방문인데 리뷰는 처음 쓰네요 직원분들 항상 친절하시네요 개인적으로  셀프바에 파채가 항상 있어서 좋아욬ㅋㅋ 오늘은 팽이버섯도 있어서 구워서 먹었네요
서가네 정육식당,너무 친절하시고 양도 많고 너무 맛있어용 항상 이 근처에 오면 꼭 들리는 곳이에요 또 올게요 항상 친절히 해주셔서 감사합니다 🤍
서가네 정육식당,항상 새벽에 일끝나고 오는 맛집ᆢ 가격도 좋고 맛도좋고 직원분 엄청 친절해요~~
서가네 정육식당,고기랑 야채가 굉장히 신선해요맛있게 잘 먹었습니다~~!!
서가네 정육식당,외대앞에 이런 맛집이..도랏습니다🥹 고기 질 너어어무 좋구요 너무 맛있어요ㅠㅠ 밑반찬 하나하나 다 너무 맛잇어요 (종류 짱많음 ! ) 직원분들도 너무 친절 매장도 깨끗해서 앞으로 단골항거같아요ㅠㅠ
서가네 정육식당,몸보신이 필요했는데 고기 먹으니까 힘이 나는 것 같네요!! 고기 신선하고 맛있었어요:) 된장도 얘기 안해도 리필해주시고 친절하세요!
서가네 정육식당,외대앞 가성비 고기맛집! 소고기인데 가격이 싸서 맛을 걱정했는데 너무 맛있네요~~
서가네 정육식당,좋아요
서가네 정육식당,두번째 방문~오늘도 맛있어요~!
서가네 정육식당,맛있게 먹었습니다고기 1판시키면 냉면 주는 이벤트중이라 냉면도 맛있게 먹었어요!다음에 또 오겠습니다 !!
서가네 정육식당,고기 맛있게 먹었어용. 다음에도 올게요.
서가네 정육식당,친구들이랑 간만에 먹으러 왔는데역시 맛있네요~된장찌개도 맛있고고기도 맛있어요:)
서가네 정육식당,여기 고기랑 반찬이랑 진짜 맛있어요~~데이트코스로 강추!!!
서가네 정육식당,고기집
서가네 정육식당,자주 오는데 항상 맛있어요!
서가네 정육식당,동네에 24시 고깃집이 있어서 행복합니다. 항상 번창하십쇼!
서가네 정육식당,생각보다 너무 고기질도 좋거 맛있었습니다!! 사장님의 금팔찌가 너무 인상적이었어요. ㅎㅎ
서가네 정육식당,귯굿 추천합니다고기 맛있어요 회식으로 좋아요 장소ㅠ넓어요
서가네 정육식당,회식으로 왔어요 오기 좋습니다!!
서가네 정육식당,맛있어요~ ㅎㅎ 가성비 좋습니다!동네 꼬기 맛집!👍👍
서가네 정육식당,고기 질이 너무 좋아서 먹으면 입에서 사르르 녹아요!
서가네 정육식당,가격도 착한데 고기질도 아주 좋네요👍🏻
서가네 정육식당,고기 질이 좋고 양도 많아서 가성비가 엄청 좋아요근처 학생들이 이용하기 좋게 점심시간에 식사메뉴도 있어서 이용하기 좋을 거 같아요강추합니다!
서가네 정육식당,친절하고 맛있어요
서가네 정육식당,가성비 너무 좋고 맛있어요 !!!
서가네 정육식당,맛있어요! 큰소 시키면 종류 다양하게 나오고 좋아요
서가네 정육식당,맛있어요! 전 여기만 와요!
서가네 정육식당,맛있고 음식도 저렴해서 자주 와요. 맛있어요.
서가네 정육식당,고기 너무 맛있어요!!!자주 올게요 ㅎㅎ
서가네 정육식당,가격도 싸고 고기 질도 좋고 너무 맛있어용👍🏻
서가네 정육식당,양도 많고 맛있어요~~ 가족모임때 자주 오는 곳이에요~
서가네 정육식당,가족들과 식사왔어요양도 많고 반찬도 정갈해요 맛있어요 추천함👍
서가네 정육식당,매번 동아리 많은 인원 데리고 오는데 수용 가능하고 선배님들이 고기도 맛있으시대요! 회식 장소로 제격입니다!
서가네 정육식당,외대앞 서가네 정육식당 정말 맛있어요.
서가네 정육식당,"소고기 질도 좋고 가성비도 좋아요!!  친구모임, 가족모임, 교수님과의 회식자리까지 강추강추 대강추!!!"
서가네 정육식당,고기도 맛있고 사장님이 친절해요
서가네 정육식당,단체모임 하기 좋은 서가네!!!외대에서 단체로 회식할 땡 항상 서가네 가요가성비도좋고 친절하십니다
서가네 정육식당,고기 질이 좋고 반찬이 맛있어요👍🏻
서가네 정육식당,고기가 맛있고 사장님이 친절 하시고 항상 오면 반갑게 맞아주셔서 맛있게 먹고 갑니다
베브릿지 한국외대점,봄에 경희랜드에 벚꽃 구경 왔었다가 오고 또 왔어요남자친구 픽 베브릿지똥랭차랑 누텔라쉐이크(?)가 젤 맛있다고 해서 두번 다 그렇게너무 맛있고 다른 곳에서 볼 수 없는 음료라 매력적똥랭차 레몬 가득 들어가서 상큼하고 덜달게 옵션도 좋아요의자는 높은 의자라 매우 편한편은 아니지만이야기하기 좋은 공간입니다
베브릿지 한국외대점,"학식 메뉴가 맘에 안들어서 고민하다 밥 때놓쳤는데, 더부룩하지 않게 나름 든든히 먹을 수 있어서 좋았어요! 꿀 좀만 더 넣어주셔도 좋을듯??(5500원이면 가격도 괜찮은 거 같아욥ㅎㅎ)"
베브릿지 한국외대점,계속 생각나...너무 맛있음... 하루종일 이것만 먹어도 안질릴듯 주기적으로 사과바나나토스트 먹어줘야하는데 요즘 그냥 미친듯이 땡김 진짜 최고의 메뉴♡ 베이글보다 통밀토스트라인이 더 취향이라 담엔 랩도 먹어봐야징!!
베브릿지 한국외대점,꿀을 추가해서 뿌려먹으면 그렇게 맛있을 수가 없어...너무좋아 최고 최고최고 너무 좋아 🤤🫶
베브릿지 한국외대점,말이 안돼이걸 무조건 꼭 먹어야함딸기망고신또..?말이안되게 맛있는 과일의 단맛이 느껴짐... 🥹인생최애음료가되...😭🫶
베브릿지 한국외대점,너무 맛있어서 자주 와요! 스무디볼 파는 곳이 집 근처 있어서 좋아요😍 물컵도 귀엽잖아요😍❤️ 친절하셔서 기분도 더 좋아졌어요!
베브릿지 한국외대점,베브릿지가 근처에 있어서 삶의 질 수직상승🥳매번 스무디 먹다가 이번에는 그릭요거트 주문해봤어요! 재료가 꽉꽉 들어가서 행복해요😋
베브릿지 한국외대점,아사이 블루베리 스무디볼이랑 잠봉 통밀 토스트 먹었는데 둘다 건강하면서도 맛있어요! 브런치로 프레쉬하게 하루를 시작할 수 있어서 좋아요🤍 가게 분위기도 좋아서 약속장소로도 좋을 듯 !! 다이어터들에게 짱 추천 👍👍
베브릿지 한국외대점,외대 근처에서 가장 특별하고 가성비있는 카페에요ㅎㅎ  메뉴 종류가 다양하고 샌드위치 전문점보다 맛있는 빵들ㅠㅠ 음료 도장깨기 하러 재재재재방문각 ⭐⭐⭐⭐⭐
베브릿지 한국외대점,근처 올 일 있어서 들러봤어요.세계음료점?을 표방하고 있어 그런지 메뉴가 진짜 다양해요.키오스크에서 주문하는 시스템이고 대학가 앞이라 그런지 가성비가 좋아보였어요.드래곤볼스무디볼 먹었고 용과가 들어있는거였어요.얼음씹히는 느낌이나 싱거운 느낌 없이 진하면서 자연스러운 스무디맛이에요.씹히는 식감 좋아해서 햄프씨드 추가했고 기본으로 사과랑 바나나가 들어있어요.새콤달콤 건강한 맛이고 키오스크 주문인데 더하고 빼는 옵션이 상세하고 다양하게 되어있었어요.인테리어는 뭔가 추억의 느낌인데 아주 오래 전 강남역 지하상가에 있던 샌드위치랑 쥬스 팔던 가게 느낌이에요.인테리어라기보다도 메뉴가 많아 그런지 재료가 조금씩 보여서 그런 것 같아요.다른곳에서 못 보던 다양한 메뉴가 있어서 근처 살면 또 와보고 싶어요.
베브릿지 한국외대점,"신선한 재료들로 만든 스무디볼과 그릭요거트 볼 먹었어요.  토핑도 양껏 많이 올렸는데. 아보카도 흑당 커피는 꼭 드세요!! 브런치로 먹기 딱인 베브리지 외대점만 있는게 아쉬워요 ㅠㅠ 울동네에도 있어랑 ㅠㅠ 든든히 먹고, 과일 곡물이다 보니 넘 속이 편해요!!"
베브릿지 한국외대점,메뉴가 특별해서 자주 와요 너무 맛있어요!
베브릿지 한국외대점,Delicious sandwiches! healthy also. nice place to stay. :)
베브릿지 한국외대점,잠봉베이글과 아사이블루베이요거트볼 주문했는데 진짜 맛있었어요❤️강추강추😆건강하면서도 이렇게 맛있는 브런치를 먹을 수 있다니 행복💕잠봉베이글 너무 맛있어서 5분컷했네요!다음엔 훈제연어베이글 먹어보려고요 완전 대만족에 재방문각입니다!!!!!
베브릿지 한국외대점,닭가슴살햄 통밀 토스트와 아사이 블루베리 스무디볼 먹었어요! 그렉요거트를 토스트에? 라 생각했는데 보기보다 엄청 잘어울리고 부드러운 식감이 들어가 좋더라구요 아사이볼도 달지않고 맛있게 잘먹었습니다! 그래놀라 바삭하니 따로 구매하고싶을 정도로 좋았어요
베브릿지 한국외대점,"베브릿지에서 스무디볼이랑 토스트 먹었는데 진짜 든든하고 맛있어요ㅠㅠ 망고 스무디볼 진짜 최고,,찐 망고의 맛이 그대로 느껴졌어요!! 아사이 블루베리도 맛있습니당 1인 1볼 하고 토스트 나눠먹으면 딱 좋아요!!"
베브릿지 한국외대점,아침 일찍 열어서 좋아요아사이볼은 처음 먹는데 너무 깔끔하고 맛있어요😋
베브릿지 한국외대점,"다양한 메뉴 있고, 맛있어요!!!!"
베브릿지 한국외대점,예전엔 세계여행컨셉이었는데 많이 바뀌어서 신기해요:) 맛있습니다!
베브릿지 한국외대점,"오랜만에 방문했습니다! 가게 내,외관도 엄청 바뀌고 메뉴도 엄청 많아졌네요..! 개인적으로 예전 컨셉이 좋았지만..ㅎㅎ 오랜만에 방문하니 추억돋고 좋았습니다"
베브릿지 한국외대점,정말 최고로 맛잇어사과바나나그릭요거트통밀토스트ㄹㅇ 최고 넘넘 좋아☺️✌️🫶
베브릿지 한국외대점,건강한 브런치 메뉴 🌟 크림치즈 밀식빵 대신크림치즈 대신 그릭요거트 발라져있는 통밀빵에그릭요거트 조합 말모말모그릭요거트도 듬뿍듬뿍 ❤️ 닭가슴살햄까지 푸짐하게 넣어주셔서단백질 식단 👍🏻 👍🏻 👍🏻 통밀토스트와 포카치아로도 가능하니 👏 👏 취향에 따라 먹으면 👍🏻 👍🏻 시럽과 요거트파우더를 사용하지 않는 음료생과일 생요거트를 이용해서 음료 메뉴도 👍🏻신또 👍🏻 👍🏻 👍🏻  다이어터 유지어터로써 이런집은 무조건 가야지 🌟 건강하게 속든든 😃 추천추천건강한 카페 베브릿지 최고 👍🏻 💕
베브릿지 한국외대점,넘마시쑴...꿀 많이 뿌려먹는게 진짜임...너무 조흠
베브릿지 한국외대점,여기 요거트 맛집이예요커피도 맛있고 요거트랑 브런치 메뉴도 맛있어서 다이어트 할때 방문해도 행복한 곳!! 개강이니 이제 자주 방문하겠습니다~♡
베브릿지 한국외대점,특이하고 건강한 메뉴들이 많아 좋아요!!
베브릿지 한국외대점,그릭요거트 조아하는데 너무 맛잇어요햄프씨드랑 그래놀라 조합이 쵝오!!!
베브릿지 한국외대점,크림치즈 샌드위치 부담스러웠는데 그릭요거트로 발라주시니 넘 좋아요🥹
베브릿지 한국외대점,전통있는 외대 분위기 깡패 카페네요. 외대 그 자체입니당.요즘 건강식하는데 그릭요거트랑 통밀샌드위치 너무 맛있세 먹고 있어요! 분위기도 좋아서 이문동 최고의 분위기 있는 공간입니다
베브릿지 한국외대점,그릭요거트랑 샌드위치 좋아하는 편이라 찾아보다가 그릭요거트 들어간 샌드위치 팔길래 찾아와써요 ... 스무디볼도 빙수 대신 먹기 너무 좋구 맛있어요 ㅎㅎ 은은하게 단맛 올라오는데 과하지 않고 재료도 신선한 것 같아서 좋아요 !! 매장 분위기도 짱입니다 ... 🫶
베브릿지 한국외대점,아사이 블루베리 그릭요거트 맛있어요:)
베브릿지 한국외대점,"오늘은 배는 고픈데 입맛이 없는 날이었어요. 무엇을 먹을까 고민하다가 요거트볼이 생각나서 검색했는데,외대 근처에 이런 곳이 있어서 방문해 보았어요!!알차고 건강한 음식을 손쉽고 예쁘게 먹을 수 있다니 기분이 좋아졌어요ㅎㅎ다음엔 그릭 토스트 도전해볼래요👍🏻맛있는 게 많은데 인테리어도 이뻐서 맘에 들어용자주 올게요💃💃"
베브릿지 한국외대점,늦게까지 해서 좋아요 넘 맛있습니다!!😋
베브릿지 한국외대점,내년 여름에 또 마시러 갈게요 💛💛
베브릿지 한국외대점,스무디볼 = 건강함 + 맛있음돌아가면서 먹는데 아사이볼이 최애예요
베브릿지 한국외대점,꼬까다 베네수엘라 최고~~용과는 처음 먹어봤는데 짱 맛있어요 다음엔 이거 시킬 겁니다..!🥰❤️‍🔥❤️‍🔥
베브릿지 한국외대점,"아사이볼, 스무디볼을 좋아해서 먹어봤습니다 운동 후에 가볍게 먹기엔 괜찮긴했는데 초코칩은 담에 빼고 먹어야겠어요ㅎ (나름 건강한 맛에 싸구려초코칩맛....ㅎ ㅠㅠ)"
베브릿지 한국외대점,근처에 일정이 있어서 잠깐 저녁 먹을겸 들렸어요! 못보던 신기한 메뉴가 있어서 먹어봤는데 건강한 한끼 맛있게 먹었어요ㅎㅎ담에는 신또?라는걸 먹어보고싶어요😄
베브릿지 한국외대점,아사히베리e~
베브릿지 한국외대점,맛있어요!
베브릿지 한국외대점,베이글도 바삭쫄깃하고 맛있네요 포레스티 줄 너무 길어서 와봤는데 앞으로 여기 많이 올 거 같아요
베브릿지 한국외대점,"보이는 것 처럼 건강한 맛이예요,주문 즉시 신선한 재료로 만들어 줍니다."
베브릿지 한국외대점,회원가입 일찍할걸… 또 왔어요 진짜 맛있고 동네에 스무디볼 파는 곳 있어서 행복해요!😍
베브릿지 한국외대점,그릭요거트 가게 중에서 제일 깔끔하고 맛있어요여기만 갈 거 같네용
베브릿지 한국외대점,"쩐주나이차, 누텔라초코쩐주나이차 둘다 최고다!!!"
베브릿지 한국외대점,가격이 사악해여
베브릿지 한국외대점,여전히 건재한 베브릿지 보니 좋았어요 ㅎㅎㅎ 레몬에이드? 였나 진짜... 세상 더운데 너무 맛났습니다 ㅎㅎㅎ
베브릿지 한국외대점,경희랜드에 벚꽃구경하러 왔다 들렀어요 🌸🤭🌸남자친구가 예전에 많이 다녔다고 해서 왔는데 역시 음료 실망시키지 않는 맛!!누텔라 혈관하나하나까지 당 전달되는 극락의 맛ㅋㅋㅋㅋ똥랭차는 시원 상큼 레몬 가득들어가서 아주 상큼한 맛으로 여름에 어울릴 음료두 음료 조합이 좋았습니다 🤭저녁 먹으러가야해서 디저트는 못 먹었는데 디저트 라인업도 좋은 것 같아요! 다음에 경희대 온다면 또 들르고싶어요🤍
베브릿지 한국외대점,신또가 너무 맛있어서 맨날 먹으러 와요 ㅠㅠㅠ 아보카도 바나나신또에 피스타치오 추가하면 진짜 넘 맛있습니다 !!!
베브릿지 한국외대점,먹고 싶어서 엄청 벼르다가 드디어 왔어요! 특별한 메뉴가 있어서 너무 좋아요😍❤️❤️❤️
베브릿지 한국외대점,항상 맛있어요~!!
베브릿지 한국외대점,맛있어요 스무디랑 요거트볼 메뉴 도장깨기 할 거예요!😍
베브릿지 한국외대점,굿
베브릿지 한국외대점,신또 너무 맛있어서 자주 방문해요 !! 피스타치오 같이 넣으면 진짜 너무 맛있어용 ㅠㅠ 담에 또 방문하겠습니다 !
베브릿지 한국외대점,너무 맛있고 상큼해서 자주 오는 곳이에요.
베브릿지 한국외대점,ㅇ
베브릿지 한국외대점,양도 많고 맛있었어요.
베브릿지 한국외대점,오랜만에 왔는데 인기많네요 ㅎㅎ버블티는 안팔아서 아쉬웠어요 제 최애였는뎁ㅠ
베브릿지 한국외대점,항상 잘 먹는 아사이볼 맛집입니당🫶🏻🔥
베브릿지 한국외대점,"깡아지 너무 귀여워요!! 음료도 코코넛시나몬스무디였나 너무 맛있습니다 보기엔 시나몬가루가 적어보이는데 마시는 내내 시나몬맛이랑 코코넛맛 계속 나면서 너무 잘 어울리네요..!! 얘만 팔아도 맨날 방문하고 싶을 만큼 짱맛입니다,,!!"
베브릿지 한국외대점,친절하고 매장이 깨끗해요 누텔라쉐이크가 맛있어요
베브릿지 한국외대점,진짜 너무 맛있어요!! 이문동 맛집 발견초코도 과하게 안 달고 건강한 맛이고 바나나도 신선해요! 굿 ㅠㅠ굿
베브릿지 한국외대점,행사해서 저렴하게 마셨습니다.
