store_name,content
가야가야,굿
가야가야,"카라이 돈코츠 라멘은 돼지뼈를 우려낸 진한 국물에 매운맛이 더해져 한 입 떠먹자마자 입안 가득 풍미가 퍼졌습니다. 진하고 고소한 돈코츠 육수의 맛이 느껴지면서도, 칼칼한 고추 향이 입맛을 돋워줬습니다. 매운맛이 강하지만 자극적이지 않아 먹는 내내 편안했습니다.라멘 위에 올라간 차슈 고기는 정말 부드럽네요. 두껍지 않아서 한 조각 천천히 음미하게 되는 맛이네요면발은 적당히 쫄깃해서 국물과 함께 먹기에 딱 좋았습니다. 함께 올라간 목이버섯과 아삭한 야채 토핑도 매운 국물과 잘 어울렸고, 전체적으로 조화로웠습니다.혼자 방문했지만 매장의 분위기가 아늑해서 전혀 어색하지 않았습니다. 직원분들도 친절하게 응대해 주셔서 편안하게 식사할 수 있었어요.여러차례 방문했지만 가장 맛있는 것은 카라이돈코츠라멘이네요😀"
가야가야,진심 맛있어요!가야가야 라멘먹으려고 인천에서 지옥철을 타고 온 보람이 있네요~👍👍👍
가야가야,ㄱㄱ
가야가야,맛있게 잘 먹었습니다. 양도 많고 맛도 깊어서 좋았어요.
가야가야,유튜브 알고리즘으로 알게 되고 나서 지도어플 맛집 추천에 계속 잠들어 있다가 방문 사실 호기심 때문에 가고 싶었던 곳이라 기본을 시켜보자란 마음으로 돈코츠 로 시켰는데 취향이 아님에도 추운 날씨에 속 뜨근하게 잘 먹음! 5시 좀 지나서 들어갔는데도 안에 사람들이 제법 있어서 오오- 하면서 들어감 맛은 돈코츠 라멘 특유의 꾸리꾸리한 맛도 있고 오오 깔끔한데! 이런 느낌 라멘을 자주 안 먹어서 모르지만 수저에 올려서 먹는데 잠깐 사이에 수저에서 떨어질 정도로 면이 탱글하다 할까?? 여튼 면덕후가 아님에도 맨족😉담엔 좀더 취향에 맞는 메뉴로 골라서 또 먹으러 와야지골목식당 + 흑백요리사 출현 가게 왔다아😍🤩
가야가야,"학교를 되게 오래 여러군데 다녔는데 저의 학생시절 후반쯤부터 라멘 생각나면 무조건 여기였어요. 착각이 아니라면 벌써 15년 정도 된 거 같아요. 혼밥 하느라 학교 다닐 때는 늘 애매한 시간대에 다찌바 자리로만 갔었는데 요즘은 혼밥이 가능하네요. 저는 좋지만 그래도 여기가 사람이 많고 장사가 더 잘 되면 좋겠어요. 학교 다닐 때 다니던 식당이 아직도 남아있는 경우가 흔하지 않아서 오래오래 늘 생각날 때 가면 언제나 먹을 수 있으면 좋겠거든요. 일본에서 먹던 라멘은 짜서 거의 생각이 안나는데 여기 라멘은 맛있고 간도 적당하고,  어쩐지 뜨끈한 국물 생각 날 때 설렁탕집이나 국밥집 보다 먼저 떠오르는 집이에요. 그래서 비가 많이 오거나 추울 때 자주 가보네요. 부추 반찬도 진짜 너무 맛있어요."
가야가야,"돈코츠 교카이라멘, 타마고 추가국물 음~ 라멘 꼬들~부추무침도 따로 먹을때는 뭐~이랬는데저저!!부추무침!!!라멘 얹어서 같이 먹었더니 왜 맛있는지 아직도 모르겠음!!!처음부터 부추무침 얹어서 먹을 걸...."
가야가야,더 핫해진 가야가야 ! 돈코츠 라멘 언제나 맛있고 한정판인 타마고도 너무 맛있습니다 !
가야가야,"신촌역 출발. 거리 애매. 열었나 전화. 1분 이상 안받음바쁘겠지, 가보니 반도 안 차 있음 안받을거면 전화 왜 해놨나돈코츠 시킨 후 돈코츠 야채버전 변경 부탁. 거절됨. 20초 지났지만 그럴 수 있다 봄. 계란추가 부탁. 음식 나오면 추가가 불가. 참 퍽퍽하다 싶었음.차슈 2천원 주고 추가. 근데추가해서 1.2만원인데  사진보면 기본으로 나왔다 해도 좀 적다 싶은 양한 10그람 추가해 준건가 싶음.맛 그저 그럼. 딱 기본. 양 적고.다이어트 후 두달 만에 먹는 라멘인데 만족도가 보통과 같으면 문제 있음. 전화안받아.중간 추가 안돼.'저기 괜찮으면 추가 안될까요?' 의 답변이 '네 안되세요'면 뭐. 알아서 판단하시길.12000원짜리 차슈추가 라멘 먹고 실망감 느끼고 갑니다."
