store_name,content
쿳사 연희,쿳사 세 번째 방문인데 시즌별로 메뉴가 바뀌는지 몰랐어요ㅎㅎ 기대도 안했다가 새로운 메뉴들 먹게 되었는데 역시나 특색있고 맛있었습니다! 음식이 색이 다채로워서 사진으로 찍어도 예쁘고 맛도 흔하지 않아서 넘 좋았어요. 특히 화이트 라구 파스타 넘넘 맛있었습니다~ 항상 좋은 기억 제공해 주셔서 감사해요!
쿳사 연희,"재료도 신선했고, 너무 맛있었어요~"
쿳사 연희,사장님이 엄청 친절하시고 무엇보다 마싯어요 //예약 실수했는데 잘 안내해 주셔서 무사히 식사했습니다. 너무 감사해요. 또 방문하겠슴다 🤍🤍
쿳사 연희,"가성비, 음식 퀄리티, 친절도 모두 대만족. 강추합니다!"
쿳사 연희,"플레이팅도 너무 예쁘고, 맛있게 잘 먹었습니다:)"
쿳사 연희,쿳사의 시즌 메뉴 늘 기대됩니다. 너무 맛있어요.
쿳사 연희,2번째 간 곳인데 또 재방문의사 200%입니다.너무너무 맛있고너무너무 예쁘고너무너무 친절하고 좋은 시간 보내고 왔어요.먹은 것 중에 특히 크랩&새우 토스타다 최고였어요.
쿳사 연희,"맛있고, 친절하고, 분위기도 대화하기 좋습니다"
쿳사 연희,여기 뇨끼가 맛있다고 해서 방문했는데 이제 뇨끼메뉴는 없었어요ㅠㅠ 아쉽지만 다른 메뉴시켜서 먹었는데 파스타 둘 다 맛있게 먹었어요.! 라따뚜이새우파스타는 면이 신기하고 과자안에 면들이 들어있어서 끝까지 따뜻하게 먹었어요~! 커피도 판매하는데 따뜻한 커피가 손잡이없는 유리잔에 나와서 먹을때 너무 힘들었어요..ㅠㅠ
쿳사 연희,맛있어요! 또 가고싶어요!!!!! 에그베네딕트랑 겨울 시즌 메뉴가 계속 생각나요 🤤
쿳사 연희,시즌메뉴 궁금해서 계절 바뀔 때마다 갑니다 음식에 정성이 가득하고 매장 안에 분위기도 너무 좋아요
쿳사 연희,인테리어도 깔끔하고 호주느낌이나요~! 무엇보다 음식이 너무 맛있고 양도 꽤 많아서 든든하게 식사하고 나왔습니다! 다른 메뉴 먹으러 또 방문하고 싶어요!
쿳사 연희,"n번째 방문이에요:) 에그베네딕트가 최애 메뉴이지만, 다른 메뉴도 모두 맛있습니다 :)"
쿳사 연희,언제가도 맛있고 기분좋은 곳이에요 ◡̈ 항상 새로운 메뉴가 있어서 가도가도 질리지가 않은곳이에요!! 그치만 베네딕트는 무조건👍🏻👍🏻👍🏻
쿳사 연희,계절 메뉴도 좋고.음식도 맛있고 인테리어도 좋고.다만 매장에 좌석이 많은데 넓진 않아서 사람이 붐비면 다니기 힘들어요. 한가할 때는 단체로 와도 좋아요
쿳사 연희,평일 낮에 예약해서 여유롭게 이용했어요 오랜만에 갔는데 역시 맛있네요 그 중에서도 새로나온 로제 라따뚜이가 가장 맛있었어요! ♥️
쿳사 연희,맛있어요 자리가 협소한 점 빼고는 맛과 분위기 모두 최고입니다!
쿳사 연희,포장해서 잘 먹었어요
쿳사 연희,"음식이 보기에 예쁘게 나올 뿐만 아니라 맛도 정말 좋아요. 어쩜 이렇게 정성 들여 만들었는지..특히 윈터시즌 한정메뉴인 라따뚜이 파스타, 케이크 처럼 예쁘게 나오는데 부셔 먹기 아까웠어요.특히 위에 토핑처럼 올라간 구운 채소들이 달큰하고 부드러워 좋았습니다. 채소 싫어하는 사람도 무난하게 먹을 수 있어요.직원 분들도 매우 친절하시고 음식 설명도 자세히 잘 해주시고 세심하게 응대해주셨어요.입맛이 까다로운 엄마도 너무 좋아하시더라구요🤣다음에 또 가고 싶어요🥰"
쿳사 연희,음식이 맛있고 다른데서 먹어보지 못한 맛이에요. 평일 오후 방문하면 여유롭게 식사 가능. 화장실 이용이 다소 번거로움.
쿳사 연희,"저 이번 한달만 2번 갔어요! 음식은 말해뭐해 너무 맛있구요, 에그베네딕트는 제가 런던에서 먹었던 거랑 신기하게도 정-말 비슷한데 심지어 소스가 더 맛있게 느껴질 정도예요. 예약한 것보다 조금 일찍 갔는데 손님이 꽤 있어서 그런지 한 3분 정도 후에 테이블로 메뉴판을 가져다주러 오셨어요. 저희는 정말 진심으로 괜찮았는데 목요일 1시쯤 응대해주시던 분이 늦게 응대해드려 정말 죄송하다 거듭 사과하시면서 콜라까지 서비스로 주셨어요 오히려 죄송해하셔서 저희가 죄송했다는 .. 😭❤️ 요즘 맛집엔 친절함까지 기대하기 힘든데 맛은 물론이고 늘 친절하게 대해주셔서 감사합니다 - ! 또 갈게요 🥰"
쿳사 연희,"쿳사 베네딕트 16.3그린 바질파스타&샐러드볼 16.3평일 오전 11시즘 방문했는데 테이블 두개정도 빼고 다 차있어서 깜짝 놀랐다..이 근방 로컬들의 브런치 맛집인가보다.베스트 메뉴들로 시켰는데 둘다 맛있고,  브런치들 특유의 양이 적음 이슈도 없어 만족스러웠다.시그니처인 쿳사 베네딕트 수란이 진짜 부드럽고 질긴 빵에 녹아들어서 생기는 쫀쫀한 맛이 일품이다.그린 바질 파스타는 정말 신선하고 상큼한 맛임."
쿳사 연희,공간은 작지만 아늑하고 알차게꾸며져있었어요! 메뉴를 사진으로봣을떄 좀 작고 비싸다고 생각했는데 생각보다 양많고 컸습니다! 맛도 휼륭했고 무엇보다 직원분들이 모두 다 너무 친절해서 기분이 좋았어요~ 맛있고 건강한 메뉴와 주말이였습니다~
쿳사 연희,총 6.37만원쿳사 베네딕트 1.63만원처음 포장해서 먹었던것보다 그냥 그랬음라따뚜이 새우 파스타 1.98만원의외로 이게 제일 맛있었음화이트 라구 파스타 1.76만원약간 느끼해서 라따뚜이가 더 맛있었음자몽에이드 6500원양이 많지는 않음제로콜라 3500원분위기내면서 작게 얘기하고 싶을 때 괜찮은 공간이다.3명이서 먹었는데 다 먹고 건강하게 배가 2/3 찬 느낌이라 괜찮았다.
쿳사 연희,친구랑도 몇번 갔는데 여전히 맛있네요~엄마도 아주 맛있게 드셔서 좋았습니다.
