menu_name,menu_price,menu_description
홍탄,"가격: 11,000",자작한 국물에 으깬 땅콩과 볶은 돼지고기를 비벼 먹는 고소하고 담백한 국물 탄탄면
깨부수면,"가격: 13,000","깨 즈마장 소스에 고추 양념장과 쪽파, 깨, 땅콩을 비벼 먹는 꾸덕한 텍스처의 비빔 탄탄면"
백탄,"가격: 11,000",자작한 국물에 으깬 땅콩과 볶은 돼지고기를 비벼 먹는 고소하고 담백한 국물 탄탄면
깨매운면,"가격: 13,500",즈마장 소스에 고추 양념장을 듬뿍 얹어 수란과 비벼 먹는 중독성 있는 매운맛의 비빔 탄탄면
마라새우면,"가격: 13,000","특제 마라소스에 두부, 표고버섯, 알새우를 함께 비벼 먹는 알싸한면"
항정살비빔면,"가격: 13,500","특제 간장 소스에 항정살, 아삭한 무피클, 쪽파, 수란을 함께 비벼 먹는 달짝지근한 비빔면"
초유린기(小),"가격: 4,500",부드럽고 촉촉한 새콤단짠 닭가슴살 유린기
초유린기(大),"가격: 8,500",부드럽고 촉촉한 새콤단짠 닭가슴살 유린기
제로펩시라임(355ml),"가격: 2,500",설명 없음
콜라(355ml),"가격: 2,500",설명 없음
스프라이트(355ml),"가격: 2,500",설명 없음
카스(500ml),"가격: 5,000",설명 없음
클라우드(500ml),"가격: 5,000",설명 없음
홍탕우육면,"가격: 12,000",설명 없음
백탕우육면,"가격: 12,000",설명 없음
청계탕면(시즌메뉴),"가격: 13,000",설명 없음
