StoreName,Review,Keywords_Sentiments
은하곱창,당면 졸라 많음.,당면(Negative)
아건 이대,정말 맛있어요! 카레 맛있는 건 당연히 말할 것도 없고 일부 메뉴 리필돼서 너무너무 좋아요,"맛있어요(Positive), 카레 맛있는(Positive), 일부 메뉴 리필(Positive)"
미스터왕만두 이대,만두피가 좀 두껍지만 가격 너무 착해서 용서되는 맛,"만두피(Negative), 가격(Positive)"
오늘통닭 신촌,조금 직원이 무서움,직원(Negative)
미스터서왕만두,아 역시 학부때 진짜 많이 먹었는데.. 그대로군요!군만두는 바삭 새우만두는 새우는 쫄깃! 가격도 진짜 나쁘지 않음!,"군만두(Positive), 새우만두(Positive), 가격(Positive)"
카우떡볶이,오랜만에 신촌와서 즉석떡볶이가 생각나서 찾아온 카우떡볶이!매장도 청결하고 분위기도 너무 좋고!!!음식도 너무너무 맛있고 너무너무 친절하신 사장님!!다음에 신촌오면 또 찾아올게요 사장님!!👍👍👍,"매장 청결(Positive), 분위기(Positive), 음식 맛(Positive), 친절한 사장님(Positive)"
여기가좋겠네,가격대비 양이푸짐해요어묵떡복기도 생겼더라고요,가격 대비 양(Positive)
크치치킨 회기점,지난번 리뷰로 문어 받아서 또 해봅니다! 생각보다 당첨이 잘돼용!!!!,"문어(Positive), 당첨(Positive)"
쭈꾸미블루스 신촌본점,술집.,술집(Neutral)
강남불백 신촌,만원의 행복 가성비가 좋아서 친구랑 부담없이 한끼하기 좋았어요,"가성비(Positive), 부담없이(Positive)"
푸른하늘,김밥이 짱 크고 맛있어요,"김밥(Positive), 크다(Positive), 맛있다(Positive)"
강남불백 신촌,한끼 맛있게 즐기기에도 좋고 가볍게 한잔하기에도 좋았네요 ,"맛있게 즐기기(Positive), 가볍게 한잔하기(Positive)"
비아37 신촌본점,분위기가 너무좋고 메뉴가 특이해요 너무 맛있네요,"분위기가 너무 좋고(Positive), 메뉴가 특이해요(Positive), 너무 맛있네요(Positive)"
쭈꾸미블루스 신촌본점,바쁜 시간을 몰아치고 저희가 방문한거라 손님은 없었는데 자리가 거의 안치워져 있더라구요 입구쪽을 치워주셔서 그쪽에 앉았는데 문이 열리면서 좀 추웠어요가격대비 비싼 편입니다만 저는 나쁘지 않았어요일단 계란찜이 너무너무 맛있어요 짭짤해서 계속 들어가는 맛! 다 먹으면 리필 해주셔서 좋았어요쭈삼도 매콤하니 맛있었어요. 매운 거 못드시는 분들은 먹기 힘드실 것 같아요.저는 고기보다 쭈꾸미가 맛있더라고요. 고기는 질 좋은 부위는 아닌 것 같다..? 아쉬웠어요. 쭈꾸미는 완전 맛있어용쭈꾸미 드시는 분들 콩나물이랑 깻잎 잘 잘라서 같이 드세용,"자리 안치워짐(Negative), 계란찜 맛(Positive), 쭈삼 맛(Positive), 고기 품질(Negative), 쭈꾸미 맛(Positive)"
153스트리트,진짜 맛있음,맛(Positive)
공복식당 신촌점,사장님 잘생기셔서 또 왔습니다 맛도 엄청 좋고 친절하세오 추천합니당 !!! 잘 먹고 가요🤍 🫶,"사장님 잘생기심(Positive), 맛(Positive), 친절하세오(Positive)"
